epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.015,0.685,0.415,0.22,0.06,0.07,0.025,0.205,0.11,7.07851330190897,0.000732421875,0.0
2,0.1,0.905,0.725,0.56,0.305,0.245,0.19,0.605,0.375,6.508939102292061,0.0028533935546875,0.0
3,0.095,0.94,0.74,0.555,0.36,0.255,0.175,0.675,0.515,6.03324044495821,0.0067596435546875,0.0
4,0.125,0.935,0.805,0.625,0.36,0.26,0.16,0.74,0.545,5.6993256732821465,0.0099945068359375,0.0
5,0.125,0.94,0.82,0.66,0.4,0.335,0.2,0.76,0.56,5.434937164187431,0.0138092041015625,0.0
6,0.19,0.955,0.835,0.645,0.405,0.325,0.245,0.76,0.595,5.178096130490303,0.01806640625,0.0
7,0.185,0.965,0.905,0.71,0.49,0.395,0.29,0.805,0.64,4.920157395303249,0.0227508544921875,0.0
8,0.195,0.93,0.885,0.615,0.445,0.335,0.28,0.78,0.615,4.644348286092281,0.0291290283203125,0.0
9,0.21,0.945,0.865,0.675,0.49,0.42,0.295,0.76,0.6,4.362853541970253,0.034088134765625,0.0
10,0.18,0.94,0.815,0.67,0.42,0.345,0.27,0.73,0.575,4.054676126688719,0.041961669921875,0.0
11,0.16,0.93,0.89,0.64,0.445,0.36,0.245,0.775,0.595,3.765857517719269,0.0496673583984375,0.0
12,0.17,0.93,0.855,0.665,0.45,0.365,0.265,0.735,0.58,3.4738507978618145,0.0575408935546875,0.0
13,0.2,0.945,0.84,0.64,0.445,0.375,0.235,0.75,0.585,3.1756730042397976,0.0680084228515625,0.0
14,0.145,0.9,0.81,0.59,0.4,0.32,0.21,0.7,0.555,2.8915061317384243,0.076690673828125,0.0
15,0.155,0.905,0.8,0.63,0.39,0.35,0.25,0.72,0.555,2.6114081107079983,0.086822509765625,0.0
16,0.18,0.92,0.855,0.635,0.44,0.385,0.27,0.725,0.58,2.348167084157467,0.09716796875,0.0
17,0.165,0.915,0.805,0.59,0.38,0.3,0.23,0.69,0.535,2.100343246012926,0.1088104248046875,0.0
18,0.145,0.915,0.76,0.595,0.36,0.305,0.23,0.685,0.525,1.8644416648894548,0.119598388671875,0.0
19,0.17,0.905,0.78,0.62,0.435,0.33,0.24,0.695,0.545,1.630789641290903,0.131988525390625,0.0
20,0.18,0.9,0.8,0.63,0.425,0.35,0.245,0.74,0.56,1.4254095200449228,0.1410675048828125,0.0
21,0.16,0.91,0.745,0.57,0.4,0.33,0.24,0.64,0.505,1.236973850056529,0.1533050537109375,0.0
22,0.15,0.92,0.81,0.615,0.385,0.28,0.225,0.665,0.505,1.0732838595286012,0.16229248046875,0.0
23,0.12,0.895,0.785,0.605,0.39,0.285,0.225,0.675,0.505,0.9157678922638297,0.1742095947265625,0.0
24,0.115,0.925,0.765,0.62,0.355,0.26,0.17,0.68,0.47,0.792122233659029,0.1845703125,0.0
25,0.135,0.91,0.76,0.595,0.355,0.285,0.23,0.665,0.47,0.6786908451467752,0.194061279296875,0.0
26,0.125,0.915,0.765,0.585,0.36,0.285,0.215,0.645,0.465,0.5882839229889214,0.2035675048828125,0.0
27,0.145,0.91,0.815,0.58,0.375,0.315,0.22,0.685,0.51,0.5085299136117101,0.21221923828125,0.0
28,0.14,0.855,0.765,0.56,0.34,0.315,0.2,0.645,0.465,0.44612970063462853,0.2209930419921875,0.0
29,0.155,0.905,0.73,0.555,0.355,0.28,0.23,0.64,0.485,0.39695038506761193,0.22637939453125,0.0
30,0.15,0.88,0.735,0.555,0.355,0.305,0.2,0.605,0.47,0.3563936031423509,0.2318115234375,0.0
31,0.155,0.905,0.73,0.55,0.38,0.28,0.205,0.64,0.51,0.32338995300233364,0.236572265625,0.0
32,0.16,0.915,0.71,0.56,0.33,0.29,0.21,0.64,0.46,0.29974685003980994,0.24127197265625,0.0
33,0.13,0.91,0.725,0.585,0.335,0.26,0.185,0.59,0.48,0.27638573036529124,0.2455596923828125,0.0
34,0.115,0.88,0.71,0.55,0.34,0.23,0.165,0.635,0.445,0.2609024920966476,0.2496337890625,0.0
35,0.13,0.915,0.73,0.56,0.35,0.25,0.22,0.605,0.47,0.24933904432691634,0.252044677734375,0.0
36,0.13,0.88,0.73,0.51,0.295,0.275,0.17,0.6,0.445,0.23541363421827555,0.2552337646484375,0.0
37,0.13,0.905,0.75,0.55,0.34,0.27,0.175,0.605,0.46,0.2296098810620606,0.25701904296875,0.0
38,0.12,0.88,0.71,0.54,0.285,0.235,0.175,0.655,0.45,0.22096912888810039,0.2581939697265625,0.0
39,0.125,0.865,0.745,0.53,0.295,0.23,0.185,0.58,0.445,0.21591294836252928,0.25909423828125,0.0
40,0.105,0.855,0.685,0.465,0.33,0.275,0.195,0.58,0.45,0.20852982345968485,0.26220703125,0.0
9,0.21,0.945,0.865,0.675,0.49,0.42,0.295,0.76,0.6,4.362853541970253,0.034088134765625,0.0
