epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.015,0.63,0.45,0.195,0.095,0.07,0.025,0.225,0.14,7.8536215499043465,0.000701904296875,0.0
2,0.055,0.81,0.575,0.395,0.195,0.155,0.09,0.39,0.3,7.04216030985117,0.001251220703125,0.0
3,0.06,0.85,0.685,0.535,0.265,0.165,0.105,0.555,0.38,6.750717684626579,0.0022125244140625,0.0
4,0.095,0.865,0.69,0.525,0.29,0.245,0.15,0.61,0.405,6.510263800621033,0.00372314453125,0.0
5,0.125,0.905,0.775,0.59,0.355,0.29,0.2,0.705,0.51,6.310513123869896,0.00469970703125,0.0
6,0.12,0.915,0.825,0.585,0.375,0.29,0.21,0.69,0.485,6.151271425187588,0.0066375732421875,0.0
7,0.135,0.915,0.79,0.615,0.405,0.315,0.25,0.72,0.55,6.02288344502449,0.00775146484375,0.0
8,0.135,0.915,0.835,0.62,0.425,0.315,0.235,0.71,0.585,5.913906134665012,0.007659912109375,0.0
9,0.145,0.94,0.785,0.635,0.45,0.345,0.225,0.745,0.6,5.811295077204704,0.00958251953125,0.0
10,0.14,0.935,0.815,0.61,0.44,0.37,0.24,0.69,0.56,5.720462873578072,0.01031494140625,0.0
11,0.17,0.93,0.835,0.66,0.47,0.415,0.265,0.745,0.59,5.623838618397713,0.01129150390625,0.0
12,0.15,0.955,0.85,0.68,0.465,0.34,0.195,0.735,0.605,5.537432357668877,0.0123291015625,0.0
13,0.18,0.92,0.85,0.66,0.48,0.38,0.255,0.775,0.61,5.442133754491806,0.013916015625,0.0
14,0.17,0.9,0.82,0.71,0.45,0.38,0.23,0.745,0.59,5.369654074311256,0.01397705078125,0.0
15,0.195,0.95,0.82,0.67,0.48,0.415,0.285,0.775,0.61,5.275859147310257,0.0165252685546875,0.0
16,0.15,0.925,0.8,0.67,0.495,0.395,0.25,0.775,0.615,5.196095138788223,0.0165252685546875,0.0
17,0.2,0.91,0.865,0.675,0.48,0.4,0.27,0.775,0.62,5.113628901541233,0.01873779296875,0.0
18,0.175,0.935,0.825,0.665,0.455,0.35,0.235,0.755,0.595,5.017548061907291,0.02001953125,0.0
19,0.16,0.915,0.84,0.7,0.47,0.395,0.27,0.76,0.63,4.947365343570709,0.0206756591796875,0.0
20,0.18,0.925,0.865,0.695,0.48,0.38,0.255,0.78,0.67,4.858711674809456,0.021759033203125,0.0
21,0.205,0.93,0.86,0.655,0.47,0.435,0.265,0.815,0.67,4.772401966154575,0.023681640625,0.0
22,0.17,0.91,0.81,0.65,0.495,0.405,0.24,0.77,0.625,4.692854277789593,0.02508544921875,0.0
23,0.17,0.945,0.805,0.65,0.435,0.315,0.23,0.79,0.63,4.615841165184975,0.026031494140625,0.0
24,0.185,0.91,0.84,0.72,0.44,0.375,0.245,0.76,0.62,4.538649760186672,0.028167724609375,0.0
25,0.185,0.94,0.845,0.675,0.465,0.38,0.26,0.78,0.605,4.474003925919533,0.0285491943359375,0.0
26,0.185,0.935,0.835,0.71,0.465,0.385,0.235,0.765,0.625,4.3978331387043,0.030059814453125,0.0
27,0.17,0.92,0.84,0.66,0.485,0.41,0.23,0.805,0.63,4.327777646481991,0.031219482421875,0.0
28,0.18,0.925,0.83,0.62,0.485,0.425,0.275,0.775,0.66,4.262425512075424,0.0335845947265625,0.0
29,0.16,0.9,0.79,0.685,0.435,0.33,0.27,0.755,0.64,4.191204778850079,0.033416748046875,0.0
30,0.19,0.945,0.855,0.695,0.465,0.375,0.29,0.78,0.61,4.119191508740187,0.035552978515625,0.0
31,0.175,0.91,0.8,0.705,0.495,0.37,0.265,0.765,0.62,4.0725548677146435,0.0352020263671875,0.0
32,0.155,0.925,0.84,0.66,0.46,0.325,0.275,0.78,0.635,3.9988278038799763,0.038299560546875,0.0
33,0.185,0.94,0.785,0.675,0.465,0.37,0.245,0.775,0.635,3.9513704627752304,0.0384368896484375,0.0
34,0.185,0.93,0.79,0.655,0.455,0.36,0.29,0.755,0.63,3.8850747905671597,0.04058837890625,0.0
35,0.18,0.89,0.835,0.595,0.45,0.335,0.22,0.75,0.61,3.8215674683451653,0.0418548583984375,0.0
36,0.17,0.9,0.805,0.67,0.46,0.365,0.3,0.77,0.585,3.761452991515398,0.042694091796875,0.0
37,0.18,0.905,0.83,0.635,0.47,0.345,0.23,0.77,0.635,3.7087786234915257,0.04327392578125,0.0
38,0.17,0.92,0.825,0.65,0.46,0.375,0.235,0.765,0.61,3.6560551151633263,0.045196533203125,0.0
39,0.145,0.94,0.81,0.605,0.45,0.335,0.22,0.755,0.63,3.607949625700712,0.045623779296875,0.0
40,0.18,0.92,0.835,0.705,0.45,0.34,0.25,0.765,0.61,3.558436468243599,0.0476837158203125,0.0
21,0.205,0.93,0.86,0.655,0.47,0.435,0.265,0.815,0.67,4.772401966154575,0.023681640625,0.0
