epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.52,0.205,0.115,0.025,0.025,0.01,0.115,0.045,6.980985403060913,0.000518798828125,0.0
2,0.005,0.525,0.255,0.125,0.03,0.02,0.015,0.11,0.07,6.955127410590649,0.00079345703125,0.0
3,0.005,0.58,0.32,0.125,0.035,0.03,0.01,0.115,0.065,6.723160520195961,0.0024261474609375,0.0
4,0.015,0.71,0.44,0.22,0.075,0.05,0.03,0.225,0.13,6.464845083653927,0.0042724609375,0.0
5,0.06,0.735,0.505,0.3,0.125,0.11,0.065,0.35,0.18,6.313595332205296,0.0057373046875,0.0
6,0.07,0.805,0.655,0.4,0.165,0.15,0.09,0.46,0.29,6.211315363645554,0.00750732421875,0.0
7,0.1,0.88,0.705,0.52,0.28,0.26,0.135,0.555,0.405,6.126408837735653,0.0084228515625,0.0
8,0.14,0.87,0.735,0.54,0.31,0.275,0.175,0.615,0.44,6.0475282445549965,0.0089263916015625,0.0
9,0.12,0.925,0.75,0.615,0.35,0.255,0.19,0.65,0.525,5.980667568743229,0.010498046875,0.0
10,0.135,0.905,0.775,0.58,0.345,0.3,0.2,0.745,0.545,5.9075373485684395,0.0119476318359375,0.0
11,0.21,0.915,0.83,0.675,0.475,0.4,0.29,0.76,0.63,5.8470504358410835,0.013214111328125,0.0
12,0.17,0.93,0.82,0.625,0.415,0.295,0.235,0.7,0.575,5.783563040196896,0.0144805908203125,0.0
13,0.175,0.905,0.845,0.65,0.46,0.37,0.22,0.775,0.6,5.721538349986076,0.0156402587890625,0.0
14,0.195,0.94,0.825,0.66,0.505,0.395,0.28,0.78,0.63,5.658513113856316,0.018280029296875,0.0
15,0.195,0.945,0.865,0.68,0.49,0.385,0.275,0.745,0.64,5.600555196404457,0.0184326171875,0.0
16,0.2,0.955,0.84,0.69,0.485,0.4,0.29,0.765,0.64,5.535852700471878,0.020538330078125,0.0
17,0.195,0.92,0.845,0.65,0.475,0.35,0.275,0.75,0.62,5.474401406943798,0.021881103515625,0.0
18,0.205,0.915,0.865,0.645,0.47,0.4,0.265,0.765,0.65,5.4113930612802505,0.0229644775390625,0.0
19,0.22,0.935,0.815,0.65,0.515,0.45,0.28,0.765,0.635,5.350576989352703,0.024261474609375,0.0
20,0.23,0.945,0.845,0.705,0.52,0.405,0.29,0.795,0.665,5.283304318785667,0.0262908935546875,0.0
21,0.18,0.935,0.825,0.71,0.495,0.42,0.275,0.775,0.655,5.2198115438222885,0.0278472900390625,0.0
22,0.19,0.945,0.81,0.645,0.5,0.385,0.275,0.755,0.585,5.154416032135487,0.0302734375,0.0
23,0.235,0.95,0.805,0.75,0.51,0.43,0.31,0.81,0.66,5.092263005673885,0.0311737060546875,0.0
24,0.225,0.935,0.85,0.71,0.57,0.435,0.355,0.785,0.685,5.029652424156666,0.0331268310546875,0.0
25,0.23,0.93,0.85,0.72,0.565,0.42,0.325,0.83,0.7,4.95340271294117,0.033905029296875,0.0
26,0.215,0.96,0.845,0.75,0.555,0.43,0.345,0.83,0.74,4.888276010751724,0.03717041015625,0.0
27,0.225,0.96,0.815,0.69,0.53,0.425,0.33,0.81,0.65,4.818442195653915,0.038726806640625,0.0
28,0.215,0.945,0.865,0.7,0.54,0.48,0.315,0.815,0.67,4.749323263764381,0.0412750244140625,0.0
29,0.24,0.925,0.87,0.73,0.525,0.43,0.35,0.795,0.685,4.685016870498657,0.0423431396484375,0.0
30,0.23,0.965,0.875,0.695,0.525,0.47,0.32,0.82,0.665,4.612705729901791,0.04522705078125,0.0
31,0.23,0.97,0.87,0.74,0.53,0.445,0.33,0.815,0.685,4.538051478564739,0.0478363037109375,0.0
32,0.25,0.955,0.925,0.74,0.535,0.43,0.32,0.805,0.67,4.466732122004032,0.048675537109375,0.0
33,0.22,0.935,0.82,0.69,0.515,0.38,0.28,0.785,0.65,4.395226374268532,0.0511474609375,0.0
34,0.255,0.935,0.855,0.715,0.55,0.42,0.34,0.83,0.68,4.323611781001091,0.0518798828125,0.0
35,0.225,0.94,0.865,0.695,0.53,0.46,0.3,0.795,0.65,4.253418400883675,0.057159423828125,0.0
36,0.25,0.945,0.83,0.695,0.53,0.44,0.35,0.825,0.675,4.178984869271517,0.057464599609375,0.0
37,0.265,0.945,0.855,0.755,0.525,0.445,0.345,0.805,0.67,4.100452553480864,0.0607452392578125,0.0
38,0.22,0.925,0.835,0.74,0.49,0.435,0.305,0.77,0.63,4.032865613698959,0.0630950927734375,0.0
39,0.25,0.95,0.875,0.735,0.57,0.545,0.355,0.8,0.68,3.9634847939014435,0.06451416015625,0.0
40,0.2,0.955,0.84,0.695,0.495,0.39,0.29,0.785,0.66,3.89099358022213,0.066650390625,0.0
41,0.275,0.925,0.82,0.735,0.53,0.475,0.365,0.83,0.675,3.8239143230021,0.069091796875,0.0
42,0.26,0.94,0.865,0.76,0.53,0.43,0.34,0.79,0.67,3.7512059062719345,0.072601318359375,0.0
43,0.225,0.97,0.855,0.725,0.52,0.41,0.31,0.825,0.72,3.685560993850231,0.072784423828125,0.0
44,0.23,0.975,0.885,0.75,0.505,0.445,0.29,0.815,0.655,3.6132785491645336,0.076263427734375,0.0
45,0.245,0.97,0.87,0.67,0.515,0.445,0.3,0.79,0.64,3.541908163577318,0.0802001953125,0.0
46,0.22,0.965,0.865,0.75,0.56,0.495,0.325,0.835,0.685,3.474887043237686,0.0799407958984375,0.0
47,0.25,0.955,0.845,0.72,0.53,0.465,0.33,0.83,0.715,3.415984656661749,0.0831451416015625,0.0
48,0.255,0.96,0.855,0.705,0.54,0.445,0.3,0.845,0.685,3.3442445807158947,0.0858306884765625,0.0
49,0.245,0.915,0.86,0.74,0.545,0.47,0.325,0.815,0.685,3.2827016711235046,0.0874786376953125,0.0
50,0.225,0.925,0.88,0.715,0.475,0.41,0.28,0.78,0.645,3.2190532572567463,0.088958740234375,0.0
51,0.225,0.92,0.85,0.685,0.505,0.425,0.295,0.8,0.65,3.148812387138605,0.0921783447265625,0.0
52,0.215,0.93,0.84,0.695,0.505,0.44,0.305,0.805,0.65,3.098112214356661,0.0951080322265625,0.0
53,0.25,0.945,0.905,0.73,0.59,0.465,0.33,0.81,0.695,3.0329817831516266,0.09625244140625,0.0
54,0.25,0.96,0.87,0.73,0.5,0.4,0.325,0.83,0.635,2.9773366898298264,0.0988616943359375,0.0
55,0.255,0.96,0.87,0.75,0.525,0.415,0.34,0.825,0.655,2.9244097396731377,0.0984039306640625,0.0
56,0.245,0.95,0.875,0.72,0.555,0.47,0.34,0.835,0.685,2.85797506198287,0.100921630859375,0.0
57,0.24,0.93,0.855,0.69,0.565,0.45,0.335,0.82,0.69,2.8089399486780167,0.10528564453125,0.0
58,0.195,0.94,0.875,0.71,0.525,0.43,0.305,0.8,0.66,2.752726525068283,0.1057586669921875,0.0
59,0.265,0.965,0.87,0.75,0.515,0.45,0.385,0.85,0.73,2.6948572173714638,0.1082611083984375,0.0
60,0.215,0.935,0.795,0.695,0.475,0.43,0.315,0.81,0.61,2.6383947283029556,0.1104278564453125,0.0
61,0.225,0.95,0.87,0.745,0.51,0.395,0.315,0.83,0.695,2.5896637588739395,0.113067626953125,0.0
62,0.23,0.895,0.845,0.665,0.485,0.415,0.335,0.79,0.63,2.5369822829961777,0.11322021484375,0.0
63,0.22,0.94,0.84,0.745,0.535,0.395,0.32,0.79,0.67,2.4888614043593407,0.1158447265625,0.0
64,0.22,0.94,0.845,0.7,0.495,0.41,0.32,0.785,0.67,2.4387524761259556,0.1171875,0.0
65,0.26,0.95,0.9,0.755,0.545,0.43,0.375,0.83,0.685,2.3965771198272705,0.119598388671875,0.0
66,0.22,0.955,0.86,0.7,0.52,0.405,0.305,0.83,0.655,2.354051198810339,0.12176513671875,0.0
67,0.21,0.94,0.865,0.68,0.5,0.43,0.26,0.81,0.645,2.3087690360844135,0.12261962890625,0.0
68,0.21,0.97,0.85,0.715,0.505,0.425,0.315,0.775,0.64,2.27355832234025,0.123077392578125,0.0
69,0.215,0.95,0.855,0.68,0.55,0.44,0.295,0.805,0.685,2.220140140503645,0.12603759765625,0.0
70,0.24,0.93,0.85,0.77,0.53,0.445,0.335,0.82,0.675,2.1775285489857197,0.1262969970703125,0.0
71,0.205,0.935,0.84,0.695,0.48,0.395,0.305,0.82,0.67,2.140891868621111,0.128387451171875,0.0
72,0.255,0.935,0.87,0.685,0.505,0.435,0.3,0.785,0.665,2.098895190283656,0.129425048828125,0.0
73,0.195,0.935,0.86,0.675,0.49,0.355,0.3,0.785,0.66,2.0687552951276302,0.1320343017578125,0.0
74,0.225,0.935,0.855,0.74,0.51,0.425,0.335,0.825,0.65,2.026893824338913,0.1337890625,0.0
75,0.215,0.93,0.865,0.75,0.505,0.425,0.3,0.79,0.69,1.9961466286331415,0.1352691650390625,0.0
76,0.215,0.94,0.85,0.745,0.465,0.395,0.275,0.805,0.65,1.9595943074673414,0.1350250244140625,0.0
77,0.19,0.94,0.84,0.715,0.485,0.41,0.26,0.77,0.635,1.9289139118045568,0.1347808837890625,0.0
78,0.22,0.935,0.85,0.695,0.5,0.41,0.31,0.77,0.66,1.9016637597233057,0.138916015625,0.0
79,0.215,0.96,0.86,0.715,0.465,0.4,0.28,0.825,0.655,1.8683568742126226,0.138275146484375,0.0
80,0.215,0.94,0.87,0.665,0.505,0.44,0.29,0.825,0.65,1.8302285056561232,0.14129638671875,0.0
81,0.22,0.91,0.85,0.72,0.54,0.44,0.33,0.79,0.665,1.809758234769106,0.14263916015625,0.0
82,0.2,0.93,0.88,0.685,0.47,0.395,0.285,0.765,0.63,1.79044134542346,0.1418609619140625,0.0
83,0.17,0.925,0.865,0.63,0.42,0.36,0.245,0.755,0.58,1.7620606888085604,0.144500732421875,0.0
84,0.205,0.955,0.815,0.69,0.485,0.38,0.28,0.79,0.605,1.7322025187313557,0.144989013671875,0.0
85,0.185,0.95,0.85,0.655,0.51,0.395,0.255,0.735,0.635,1.70767973177135,0.1475372314453125,0.0
86,0.2,0.965,0.835,0.73,0.47,0.415,0.28,0.82,0.615,1.6693347170948982,0.14654541015625,0.0
87,0.215,0.93,0.9,0.66,0.51,0.375,0.295,0.805,0.665,1.6492122318595648,0.14703369140625,0.0
88,0.185,0.925,0.785,0.675,0.46,0.32,0.265,0.795,0.61,1.6338057331740856,0.15057373046875,0.0
89,0.21,0.975,0.845,0.695,0.485,0.385,0.325,0.805,0.63,1.6069544479250908,0.1500091552734375,0.0
90,0.17,0.91,0.815,0.665,0.485,0.34,0.26,0.765,0.585,1.589886026456952,0.1515045166015625,0.0
91,0.195,0.925,0.835,0.72,0.475,0.38,0.28,0.755,0.61,1.5688635502010584,0.153900146484375,0.0
92,0.215,0.925,0.885,0.705,0.51,0.415,0.315,0.79,0.65,1.5518380291759968,0.1506195068359375,0.0
93,0.225,0.94,0.855,0.71,0.505,0.4,0.315,0.77,0.625,1.5309776160866022,0.1536102294921875,0.0
94,0.21,0.945,0.865,0.72,0.505,0.415,0.33,0.8,0.65,1.5051360614597797,0.154541015625,0.0
95,0.22,0.91,0.81,0.63,0.44,0.385,0.31,0.77,0.595,1.4879803657531738,0.15582275390625,0.0
96,0.22,0.91,0.835,0.69,0.49,0.43,0.31,0.76,0.64,1.473923247307539,0.1553802490234375,0.0
97,0.175,0.9,0.81,0.715,0.485,0.38,0.265,0.76,0.62,1.4545143339782953,0.1579132080078125,0.0
98,0.18,0.915,0.78,0.665,0.465,0.38,0.27,0.725,0.565,1.451807564124465,0.15753173828125,0.0
99,0.24,0.915,0.865,0.66,0.475,0.45,0.315,0.755,0.61,1.4206422865390778,0.1595611572265625,0.0
100,0.2,0.915,0.865,0.695,0.49,0.37,0.27,0.8,0.615,1.4120962899178267,0.1581268310546875,0.0
41,0.275,0.925,0.82,0.735,0.53,0.475,0.365,0.83,0.675,3.8239143230021,0.069091796875,0.0
