epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.515,0.28,0.11,0.04,0.04,0.015,0.095,0.065,6.92075377702713,0.0011749267578125,0.0
2,0.005,0.555,0.275,0.105,0.045,0.045,0.02,0.14,0.075,6.496987529098988,0.00396728515625,0.0
3,0.01,0.59,0.33,0.16,0.05,0.03,0.02,0.185,0.1,6.231697365641594,0.0051422119140625,0.0
4,0.015,0.705,0.475,0.265,0.085,0.08,0.04,0.27,0.14,6.069533199071884,0.0074462890625,0.0
5,0.04,0.795,0.62,0.31,0.15,0.105,0.07,0.375,0.255,5.945730067789555,0.0083160400390625,0.0
6,0.04,0.84,0.66,0.45,0.22,0.18,0.105,0.48,0.32,5.842706188559532,0.009613037109375,0.0
7,0.05,0.845,0.72,0.445,0.265,0.165,0.13,0.535,0.4,5.753890216350555,0.010894775390625,0.0
8,0.07,0.865,0.645,0.495,0.3,0.26,0.155,0.565,0.41,5.668053850531578,0.0123748779296875,0.0
9,0.095,0.865,0.79,0.56,0.3,0.22,0.16,0.6,0.435,5.597466133534908,0.0132293701171875,0.0
10,0.095,0.87,0.735,0.475,0.3,0.21,0.155,0.58,0.44,5.530538342893124,0.0139617919921875,0.0
11,0.115,0.885,0.73,0.555,0.34,0.28,0.185,0.635,0.475,5.474703848361969,0.0147857666015625,0.0
12,0.115,0.88,0.77,0.565,0.35,0.275,0.155,0.665,0.51,5.42189883440733,0.0162200927734375,0.0
13,0.105,0.885,0.775,0.62,0.37,0.28,0.175,0.67,0.515,5.367851138114929,0.016204833984375,0.0
14,0.13,0.9,0.77,0.54,0.37,0.27,0.19,0.665,0.505,5.322644859552383,0.016357421875,0.0
15,0.135,0.895,0.775,0.56,0.39,0.29,0.195,0.65,0.54,5.282297767698765,0.0169525146484375,0.0
16,0.145,0.905,0.78,0.595,0.395,0.31,0.195,0.655,0.575,5.238689973950386,0.0177154541015625,0.0
17,0.135,0.855,0.8,0.59,0.38,0.305,0.23,0.665,0.515,5.194576345384121,0.0183258056640625,0.0
18,0.15,0.915,0.775,0.64,0.4,0.3,0.225,0.685,0.52,5.15721844881773,0.0188140869140625,0.0
19,0.135,0.9,0.795,0.605,0.405,0.285,0.2,0.67,0.555,5.11989288777113,0.019500732421875,0.0
20,0.14,0.9,0.735,0.54,0.395,0.285,0.24,0.655,0.535,5.083137586712837,0.0211029052734375,0.0
21,0.14,0.86,0.765,0.625,0.38,0.305,0.215,0.68,0.535,5.053321868181229,0.021331787109375,0.0
22,0.15,0.9,0.77,0.585,0.42,0.32,0.24,0.655,0.55,5.0279326364398,0.0213775634765625,0.0
23,0.165,0.895,0.755,0.64,0.425,0.34,0.255,0.7,0.56,4.993374139070511,0.0217437744140625,0.0
24,0.145,0.885,0.76,0.6,0.415,0.315,0.235,0.71,0.55,4.966307893395424,0.022369384765625,0.0
25,0.165,0.915,0.745,0.615,0.42,0.3,0.25,0.67,0.545,4.940535195171833,0.022796630859375,0.0
26,0.17,0.91,0.785,0.62,0.405,0.335,0.26,0.64,0.525,4.908215016126633,0.023284912109375,0.0
27,0.195,0.88,0.84,0.58,0.415,0.325,0.275,0.7,0.53,4.885087125003338,0.0230865478515625,0.0
28,0.165,0.865,0.815,0.615,0.405,0.325,0.22,0.685,0.545,4.862144000828266,0.0234832763671875,0.0
29,0.17,0.9,0.765,0.62,0.41,0.315,0.22,0.685,0.53,4.831282168626785,0.0240936279296875,0.0
30,0.185,0.92,0.795,0.605,0.415,0.36,0.245,0.7,0.545,4.814768433570862,0.0240631103515625,0.0
31,0.175,0.88,0.825,0.59,0.395,0.36,0.26,0.675,0.525,4.789927415549755,0.024505615234375,0.0
32,0.17,0.9,0.785,0.585,0.42,0.35,0.25,0.685,0.57,4.767703175544739,0.024749755859375,0.0
33,0.18,0.9,0.775,0.655,0.415,0.34,0.255,0.665,0.525,4.746077314019203,0.0240631103515625,0.0
34,0.18,0.905,0.76,0.61,0.425,0.345,0.245,0.695,0.56,4.730249933898449,0.025482177734375,0.0
35,0.18,0.91,0.77,0.62,0.415,0.295,0.24,0.685,0.545,4.706246688961983,0.02508544921875,0.0
36,0.18,0.915,0.8,0.63,0.415,0.33,0.265,0.695,0.54,4.688464589416981,0.0254364013671875,0.0
37,0.175,0.9,0.785,0.57,0.405,0.35,0.235,0.695,0.525,4.66862503439188,0.025848388671875,0.0
38,0.18,0.945,0.78,0.61,0.42,0.35,0.245,0.7,0.55,4.653222471475601,0.0255889892578125,0.0
39,0.185,0.885,0.775,0.605,0.405,0.34,0.24,0.7,0.535,4.631141744554043,0.0273590087890625,0.0
40,0.17,0.92,0.805,0.63,0.41,0.325,0.245,0.705,0.55,4.617648757994175,0.0266571044921875,0.0
27,0.195,0.88,0.84,0.58,0.415,0.325,0.275,0.7,0.53,4.885087125003338,0.0230865478515625,0.0
