epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.495,0.25,0.13,0.025,0.025,0.01,0.095,0.055,7.146109186112881,0.000701904296875,0.0
2,0.01,0.645,0.47,0.195,0.07,0.07,0.02,0.23,0.155,6.869179591536522,0.0009918212890625,0.0
3,0.135,0.905,0.705,0.52,0.305,0.26,0.185,0.58,0.415,6.270565517246723,0.0043487548828125,0.0
4,0.17,0.925,0.76,0.625,0.405,0.335,0.245,0.72,0.525,5.839269354939461,0.0084686279296875,0.0
5,0.21,0.91,0.815,0.69,0.47,0.385,0.31,0.74,0.575,5.5265339612960815,0.0123291015625,0.0
6,0.19,0.915,0.83,0.68,0.48,0.39,0.28,0.745,0.585,5.234331801533699,0.01690673828125,0.0
7,0.205,0.935,0.8,0.74,0.515,0.385,0.335,0.765,0.63,4.942273788154125,0.021728515625,0.0
8,0.245,0.94,0.845,0.705,0.525,0.465,0.33,0.795,0.66,4.636183977127075,0.02825927734375,0.0
9,0.245,0.94,0.865,0.71,0.515,0.425,0.345,0.79,0.665,4.31875092536211,0.034820556640625,0.0
10,0.275,0.92,0.845,0.76,0.56,0.46,0.365,0.805,0.69,3.9969926923513412,0.04278564453125,0.0
11,0.24,0.95,0.875,0.715,0.55,0.45,0.35,0.805,0.71,3.683646507561207,0.0501251220703125,0.0
12,0.265,0.95,0.875,0.75,0.59,0.5,0.39,0.835,0.705,3.3762865141034126,0.0577850341796875,0.0
13,0.255,0.97,0.895,0.695,0.57,0.49,0.37,0.85,0.71,3.083504695445299,0.0679931640625,0.0
14,0.275,0.96,0.865,0.72,0.6,0.49,0.375,0.805,0.725,2.8087142929434776,0.0794677734375,0.0
15,0.305,0.95,0.865,0.74,0.585,0.51,0.37,0.835,0.74,2.5505308732390404,0.086761474609375,0.0
16,0.26,0.94,0.87,0.77,0.62,0.465,0.36,0.845,0.735,2.303046766668558,0.096527099609375,0.0
17,0.275,0.91,0.875,0.765,0.57,0.5,0.345,0.81,0.705,2.0815561786293983,0.10772705078125,0.0
18,0.285,0.92,0.87,0.735,0.585,0.515,0.4,0.815,0.695,1.8697317745536566,0.1144866943359375,0.0
19,0.26,0.92,0.87,0.75,0.6,0.505,0.385,0.82,0.69,1.6739724855870008,0.123382568359375,0.0
20,0.27,0.93,0.85,0.74,0.585,0.485,0.36,0.79,0.675,1.496526412665844,0.1329345703125,0.0
21,0.255,0.93,0.89,0.755,0.615,0.475,0.35,0.82,0.7,1.3440841846168041,0.1426544189453125,0.0
22,0.28,0.96,0.86,0.73,0.595,0.505,0.39,0.825,0.725,1.1942851468920708,0.1520843505859375,0.0
23,0.26,0.95,0.885,0.725,0.57,0.49,0.375,0.795,0.665,1.0758729232475162,0.162109375,0.0
24,0.265,0.945,0.85,0.72,0.56,0.49,0.365,0.82,0.71,0.9659157563000917,0.17083740234375,0.0
25,0.265,0.935,0.85,0.715,0.555,0.455,0.335,0.825,0.695,0.8730524582788348,0.1797943115234375,0.0
26,0.24,0.945,0.845,0.7,0.565,0.475,0.34,0.775,0.685,0.790159510448575,0.1886444091796875,0.0
27,0.23,0.915,0.8,0.79,0.59,0.445,0.35,0.81,0.685,0.7295061089098454,0.193328857421875,0.0
28,0.25,0.94,0.865,0.705,0.555,0.44,0.37,0.77,0.66,0.6698413109406829,0.20166015625,0.0
29,0.235,0.94,0.855,0.73,0.595,0.43,0.35,0.82,0.685,0.6231085350736976,0.205291748046875,0.0
30,0.23,0.95,0.865,0.685,0.55,0.455,0.335,0.765,0.645,0.5858741519041359,0.210723876953125,0.0
31,0.245,0.915,0.86,0.71,0.555,0.46,0.365,0.775,0.665,0.5459997025318444,0.214599609375,0.0
32,0.245,0.915,0.875,0.72,0.505,0.435,0.31,0.785,0.695,0.5183455925434828,0.2203369140625,0.0
33,0.27,0.95,0.8,0.705,0.555,0.465,0.36,0.77,0.665,0.48857461055740714,0.2234344482421875,0.0
34,0.255,0.94,0.855,0.71,0.54,0.44,0.36,0.785,0.67,0.47097488585859537,0.229156494140625,0.0
35,0.235,0.905,0.855,0.715,0.525,0.43,0.33,0.79,0.645,0.44949547993019223,0.230865478515625,0.0
36,0.23,0.92,0.825,0.725,0.55,0.43,0.35,0.805,0.665,0.4363942830823362,0.234466552734375,0.0
37,0.215,0.93,0.825,0.68,0.53,0.4,0.34,0.775,0.675,0.4131479449570179,0.2364044189453125,0.0
38,0.24,0.96,0.86,0.685,0.545,0.44,0.325,0.78,0.65,0.4026418454013765,0.2384033203125,0.0
39,0.205,0.935,0.825,0.71,0.51,0.425,0.315,0.765,0.625,0.39202693989500403,0.2433319091796875,0.0
40,0.24,0.93,0.815,0.68,0.545,0.445,0.34,0.775,0.665,0.3804813898168504,0.2428741455078125,0.0
15,0.305,0.95,0.865,0.74,0.585,0.51,0.37,0.835,0.74,2.5505308732390404,0.086761474609375,0.0
