epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.52,0.3,0.08,0.04,0.04,0.01,0.11,0.075,6.946134202182293,0.000885009765625,0.0
2,0.01,0.52,0.285,0.115,0.035,0.035,0.015,0.13,0.1,6.533062532544136,0.003204345703125,0.0
3,0.02,0.575,0.365,0.22,0.07,0.065,0.025,0.185,0.105,6.286169566214085,0.0051727294921875,0.0
4,0.045,0.69,0.44,0.22,0.105,0.08,0.055,0.28,0.165,6.138293996453285,0.0062408447265625,0.0
5,0.065,0.77,0.605,0.37,0.215,0.15,0.105,0.415,0.315,6.018564559519291,0.00738525390625,0.0
6,0.085,0.9,0.685,0.515,0.265,0.205,0.135,0.6,0.415,5.918589875102043,0.0085906982421875,0.0
7,0.11,0.885,0.735,0.54,0.33,0.285,0.165,0.645,0.505,5.828383520245552,0.009765625,0.0
8,0.135,0.905,0.82,0.575,0.37,0.275,0.19,0.685,0.51,5.745703756809235,0.010894775390625,0.0
9,0.15,0.915,0.765,0.595,0.395,0.325,0.235,0.655,0.52,5.671921089291573,0.0112457275390625,0.0
10,0.14,0.895,0.825,0.585,0.415,0.325,0.225,0.725,0.515,5.608855307102203,0.0118560791015625,0.0
11,0.135,0.9,0.845,0.61,0.39,0.335,0.22,0.7,0.555,5.549496918916702,0.0128936767578125,0.0
12,0.145,0.915,0.835,0.59,0.41,0.3,0.245,0.69,0.56,5.491432197391987,0.01361083984375,0.0
13,0.16,0.895,0.815,0.635,0.405,0.345,0.21,0.73,0.56,5.443202547729015,0.014251708984375,0.0
14,0.145,0.91,0.8,0.615,0.42,0.32,0.235,0.7,0.55,5.3882593140006065,0.01495361328125,0.0
15,0.15,0.91,0.79,0.63,0.43,0.335,0.18,0.715,0.58,5.343909107148647,0.015380859375,0.0
16,0.145,0.92,0.81,0.59,0.42,0.32,0.24,0.73,0.55,5.29749621450901,0.0157470703125,0.0
17,0.15,0.955,0.815,0.61,0.435,0.355,0.22,0.71,0.56,5.259839206933975,0.0166473388671875,0.0
18,0.16,0.92,0.8,0.595,0.45,0.35,0.225,0.72,0.585,5.218471243977547,0.016845703125,0.0
19,0.16,0.935,0.795,0.61,0.425,0.36,0.25,0.735,0.55,5.173112988471985,0.017822265625,0.0
20,0.145,0.93,0.785,0.6,0.415,0.305,0.225,0.685,0.515,5.143216900527477,0.0178070068359375,0.0
21,0.13,0.895,0.8,0.605,0.405,0.325,0.2,0.665,0.505,5.112796790897846,0.0180816650390625,0.0
22,0.125,0.915,0.795,0.635,0.42,0.345,0.215,0.725,0.545,5.073064871132374,0.0196075439453125,0.0
23,0.145,0.915,0.82,0.62,0.425,0.295,0.215,0.685,0.545,5.039953321218491,0.0197906494140625,0.0
24,0.135,0.915,0.805,0.59,0.41,0.315,0.21,0.675,0.54,5.01277881115675,0.0201416015625,0.0
25,0.145,0.935,0.81,0.615,0.425,0.33,0.23,0.695,0.555,4.985821470618248,0.0205230712890625,0.0
26,0.155,0.91,0.75,0.655,0.435,0.33,0.255,0.685,0.555,4.951884247362614,0.0206146240234375,0.0
27,0.14,0.93,0.83,0.61,0.395,0.33,0.215,0.67,0.55,4.923795737326145,0.0210113525390625,0.0
28,0.15,0.88,0.805,0.605,0.425,0.305,0.22,0.675,0.515,4.899131692945957,0.020965576171875,0.0
29,0.14,0.93,0.75,0.56,0.42,0.29,0.205,0.685,0.555,4.871679775416851,0.0211639404296875,0.0
30,0.14,0.92,0.79,0.605,0.405,0.325,0.23,0.655,0.515,4.84643791615963,0.0216522216796875,0.0
31,0.145,0.895,0.815,0.585,0.395,0.27,0.215,0.66,0.53,4.826278045773506,0.0220184326171875,0.0
32,0.14,0.915,0.81,0.585,0.415,0.34,0.215,0.675,0.54,4.795584715902805,0.021881103515625,0.0
33,0.13,0.915,0.755,0.63,0.4,0.31,0.19,0.66,0.53,4.775870963931084,0.022735595703125,0.0
34,0.145,0.89,0.79,0.585,0.39,0.275,0.2,0.655,0.54,4.749620981514454,0.0228118896484375,0.0
35,0.135,0.925,0.75,0.595,0.39,0.345,0.18,0.66,0.52,4.736766219139099,0.02276611328125,0.0
36,0.145,0.92,0.775,0.595,0.395,0.315,0.23,0.685,0.525,4.714769557118416,0.022705078125,0.0
37,0.145,0.915,0.725,0.635,0.395,0.32,0.235,0.67,0.53,4.698601469397545,0.0237274169921875,0.0
38,0.13,0.895,0.77,0.57,0.375,0.29,0.22,0.665,0.515,4.6805117800831795,0.02459716796875,0.0
39,0.13,0.935,0.73,0.625,0.405,0.305,0.185,0.665,0.52,4.655553042888641,0.0238037109375,0.0
40,0.145,0.915,0.765,0.545,0.395,0.3,0.205,0.655,0.525,4.630334742367268,0.024169921875,0.0
13,0.16,0.895,0.815,0.635,0.405,0.345,0.21,0.73,0.56,5.443202547729015,0.014251708984375,0.0
