epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.52,0.225,0.1,0.025,0.02,0.015,0.08,0.05,6.978737451136112,0.0006103515625,0.0
2,0.005,0.595,0.3,0.15,0.035,0.025,0.015,0.14,0.08,6.906772695481777,0.00079345703125,0.0
3,0.01,0.665,0.405,0.185,0.055,0.055,0.02,0.26,0.12,6.669919930398464,0.0023193359375,0.0
4,0.02,0.695,0.47,0.24,0.08,0.045,0.045,0.275,0.14,6.467862971127033,0.0041961669921875,0.0
5,0.05,0.79,0.565,0.43,0.19,0.17,0.1,0.45,0.31,6.352342292666435,0.0052642822265625,0.0
6,0.075,0.83,0.69,0.415,0.225,0.16,0.125,0.515,0.335,6.265542522072792,0.0063018798828125,0.0
7,0.11,0.88,0.74,0.555,0.385,0.255,0.155,0.635,0.515,6.1958938986063,0.007049560546875,0.0
8,0.12,0.905,0.76,0.565,0.385,0.32,0.205,0.645,0.49,6.133062578737736,0.0084686279296875,0.0
9,0.19,0.875,0.79,0.655,0.445,0.32,0.245,0.705,0.56,6.071892648935318,0.0089874267578125,0.0
10,0.185,0.9,0.815,0.615,0.44,0.365,0.28,0.71,0.565,6.009556762874126,0.0101470947265625,0.0
11,0.195,0.905,0.78,0.625,0.465,0.365,0.285,0.69,0.585,5.951186373829842,0.011138916015625,0.0
12,0.18,0.92,0.85,0.67,0.525,0.405,0.28,0.765,0.62,5.892797239124775,0.011749267578125,0.0
13,0.195,0.915,0.775,0.62,0.49,0.425,0.31,0.715,0.56,5.834753163158894,0.0135498046875,0.0
14,0.24,0.93,0.81,0.68,0.51,0.425,0.315,0.755,0.635,5.777448184788227,0.015350341796875,0.0
15,0.205,0.925,0.8,0.705,0.515,0.435,0.305,0.77,0.67,5.724074259400368,0.01556396484375,0.0
16,0.205,0.945,0.825,0.71,0.53,0.43,0.31,0.785,0.67,5.667701452970505,0.0167694091796875,0.0
17,0.215,0.885,0.755,0.65,0.455,0.365,0.27,0.75,0.595,5.607325524091721,0.0177459716796875,0.0
18,0.17,0.93,0.78,0.645,0.49,0.39,0.255,0.72,0.625,5.549753151834011,0.0195159912109375,0.0
19,0.23,0.925,0.83,0.685,0.535,0.425,0.345,0.77,0.645,5.493278339505196,0.020263671875,0.0
20,0.225,0.96,0.845,0.67,0.545,0.435,0.315,0.81,0.67,5.433341734111309,0.0216217041015625,0.0
21,0.23,0.96,0.81,0.68,0.545,0.445,0.33,0.79,0.68,5.37274543941021,0.0233306884765625,0.0
22,0.245,0.925,0.86,0.69,0.545,0.47,0.32,0.795,0.655,5.313236773014069,0.024322509765625,0.0
23,0.2,0.925,0.85,0.68,0.525,0.46,0.3,0.785,0.635,5.249545358121395,0.02557373046875,0.0
24,0.2,0.925,0.835,0.665,0.48,0.39,0.315,0.75,0.625,5.186554819345474,0.0274200439453125,0.0
25,0.235,0.905,0.87,0.715,0.515,0.425,0.305,0.755,0.665,5.122575081884861,0.0295562744140625,0.0
26,0.19,0.935,0.795,0.67,0.54,0.39,0.265,0.77,0.655,5.055189900100231,0.0313262939453125,0.0
27,0.27,0.91,0.84,0.685,0.53,0.445,0.32,0.76,0.665,4.985634796321392,0.0326690673828125,0.0
28,0.2,0.905,0.83,0.7,0.54,0.47,0.305,0.77,0.63,4.917332328855991,0.0343017578125,0.0
29,0.22,0.905,0.82,0.665,0.525,0.435,0.325,0.76,0.6,4.842598408460617,0.03582763671875,0.0
30,0.195,0.915,0.805,0.65,0.44,0.35,0.25,0.73,0.575,4.7809596210718155,0.03790283203125,0.0
31,0.205,0.9,0.86,0.685,0.49,0.39,0.29,0.76,0.61,4.7102339789271355,0.0383148193359375,0.0
32,0.24,0.9,0.775,0.645,0.495,0.445,0.33,0.73,0.595,4.641386121511459,0.041656494140625,0.0
33,0.225,0.915,0.805,0.66,0.48,0.4,0.31,0.75,0.64,4.56693197786808,0.042755126953125,0.0
34,0.23,0.915,0.82,0.59,0.46,0.385,0.305,0.745,0.575,4.500475898385048,0.044403076171875,0.0
35,0.245,0.92,0.82,0.63,0.51,0.41,0.295,0.77,0.65,4.422823399305344,0.0479736328125,0.0
36,0.225,0.92,0.825,0.7,0.51,0.37,0.33,0.755,0.65,4.348979651927948,0.04840087890625,0.0
