epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.01,0.635,0.325,0.17,0.06,0.03,0.015,0.185,0.1,7.097739495337009,0.0007781982421875,0.0
2,0.025,0.77,0.55,0.295,0.14,0.105,0.055,0.325,0.22,6.657434947788715,0.001708984375,0.0
3,0.055,0.845,0.67,0.465,0.205,0.145,0.08,0.475,0.325,6.336175665259361,0.0030975341796875,0.0
4,0.1,0.88,0.715,0.515,0.265,0.2,0.165,0.585,0.385,5.995464004576206,0.0058441162109375,0.0
5,0.075,0.85,0.75,0.53,0.28,0.22,0.155,0.585,0.405,5.718871012330055,0.0094757080078125,0.0
6,0.115,0.895,0.745,0.535,0.365,0.275,0.175,0.62,0.49,5.465480804443359,0.0125885009765625,0.0
7,0.115,0.905,0.755,0.575,0.315,0.25,0.18,0.66,0.46,5.1966743767261505,0.0166473388671875,0.0
8,0.11,0.91,0.79,0.62,0.36,0.3,0.22,0.64,0.49,4.895492561161518,0.020538330078125,0.0
9,0.11,0.945,0.765,0.575,0.38,0.305,0.185,0.685,0.485,4.573630824685097,0.0278778076171875,0.0
10,0.105,0.905,0.79,0.595,0.34,0.265,0.195,0.635,0.485,4.217676267027855,0.0357513427734375,0.0
11,0.12,0.915,0.74,0.585,0.335,0.26,0.18,0.63,0.47,3.8589365370571613,0.0451202392578125,0.0
12,0.13,0.87,0.825,0.59,0.37,0.29,0.2,0.64,0.485,3.4974589943885803,0.0559234619140625,0.0
13,0.135,0.9,0.805,0.54,0.305,0.275,0.18,0.66,0.48,3.1403443813323975,0.0655517578125,0.0
14,0.105,0.865,0.7,0.57,0.275,0.23,0.17,0.585,0.4,2.786027353256941,0.0780029296875,0.0
15,0.07,0.875,0.73,0.485,0.275,0.22,0.115,0.58,0.425,2.443880259990692,0.091400146484375,0.0
16,0.1,0.9,0.715,0.53,0.29,0.195,0.125,0.575,0.425,2.1331148892641068,0.104400634765625,0.0
17,0.12,0.865,0.71,0.51,0.3,0.245,0.18,0.555,0.405,1.8289442770183086,0.11773681640625,0.0
18,0.11,0.865,0.715,0.45,0.29,0.255,0.17,0.55,0.385,1.547951651737094,0.1315460205078125,0.0
19,0.115,0.855,0.72,0.47,0.265,0.235,0.16,0.565,0.395,1.3116008266806602,0.146148681640625,0.0
20,0.1,0.79,0.685,0.465,0.28,0.235,0.145,0.53,0.395,1.0890321703627706,0.1592254638671875,0.0
21,0.12,0.835,0.7,0.435,0.305,0.235,0.185,0.57,0.375,0.9091315660625696,0.17437744140625,0.0
22,0.09,0.86,0.685,0.49,0.265,0.22,0.16,0.55,0.41,0.7383731259033084,0.1886444091796875,0.0
23,0.095,0.875,0.7,0.45,0.265,0.21,0.155,0.555,0.405,0.6084179412573576,0.2003021240234375,0.0
24,0.1,0.82,0.69,0.495,0.285,0.175,0.155,0.535,0.37,0.5112649416550994,0.21270751953125,0.0
25,0.095,0.82,0.685,0.49,0.265,0.22,0.17,0.535,0.395,0.43456696439534426,0.2215118408203125,0.0
26,0.1,0.815,0.65,0.48,0.28,0.24,0.165,0.515,0.385,0.37697388883680105,0.2298431396484375,0.0
27,0.075,0.815,0.725,0.475,0.27,0.195,0.17,0.555,0.38,0.3295902698300779,0.2384185791015625,0.0
28,0.11,0.82,0.655,0.465,0.255,0.215,0.15,0.54,0.345,0.2923992467112839,0.2433929443359375,0.0
29,0.08,0.83,0.705,0.465,0.31,0.195,0.115,0.48,0.395,0.26753710280172527,0.249725341796875,0.0
30,0.115,0.87,0.7,0.46,0.285,0.255,0.175,0.56,0.41,0.245441464940086,0.253570556640625,0.0
31,0.085,0.825,0.66,0.485,0.24,0.215,0.135,0.535,0.345,0.230356153100729,0.2570343017578125,0.0
32,0.1,0.84,0.655,0.45,0.27,0.215,0.145,0.515,0.375,0.220674273557961,0.2603302001953125,0.0
33,0.105,0.86,0.62,0.485,0.27,0.185,0.165,0.515,0.38,0.21095093549229205,0.2625885009765625,0.0
34,0.105,0.825,0.67,0.445,0.26,0.23,0.155,0.485,0.385,0.20143529656343162,0.265899658203125,0.0
35,0.11,0.82,0.65,0.45,0.245,0.215,0.13,0.52,0.36,0.1944294827990234,0.2673797607421875,0.0
36,0.09,0.805,0.655,0.48,0.24,0.2,0.115,0.47,0.34,0.18731274106539786,0.27142333984375,0.0
37,0.085,0.83,0.68,0.44,0.25,0.185,0.13,0.545,0.39,0.1854213059414178,0.2703857421875,0.0
38,0.1,0.835,0.705,0.435,0.3,0.22,0.18,0.485,0.37,0.18277480453252792,0.2716827392578125,0.0
39,0.09,0.835,0.69,0.47,0.255,0.195,0.145,0.495,0.375,0.18105812836438417,0.2734832763671875,0.0
40,0.115,0.84,0.675,0.46,0.275,0.245,0.165,0.525,0.39,0.17770460899919271,0.2747955322265625,0.0
13,0.135,0.9,0.805,0.54,0.305,0.275,0.18,0.66,0.48,3.1403443813323975,0.0655517578125,0.0
