epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.015,0.795,0.465,0.29,0.105,0.075,0.045,0.285,0.185,6.981576971709728,0.0009918212890625,0.0
2,0.12,0.84,0.715,0.565,0.32,0.26,0.17,0.59,0.41,6.261108987033367,0.0040435791015625,0.0
3,0.175,0.935,0.79,0.62,0.435,0.34,0.255,0.7,0.555,5.662867084145546,0.0086669921875,0.0
4,0.185,0.965,0.81,0.68,0.48,0.4,0.28,0.745,0.63,5.265740506350994,0.0139923095703125,0.0
5,0.255,0.915,0.815,0.67,0.51,0.415,0.355,0.715,0.62,4.947128921747208,0.019744873046875,0.0
6,0.245,0.955,0.845,0.71,0.515,0.435,0.315,0.785,0.685,4.644109278917313,0.0251617431640625,0.0
7,0.305,0.915,0.885,0.715,0.55,0.495,0.385,0.79,0.7,4.3549667447805405,0.031982421875,0.0
8,0.275,0.905,0.85,0.665,0.51,0.41,0.37,0.785,0.645,4.064815208315849,0.0396270751953125,0.0
9,0.255,0.935,0.865,0.67,0.495,0.43,0.32,0.795,0.635,3.7617371268570423,0.0471343994140625,0.0
10,0.28,0.935,0.905,0.765,0.6,0.53,0.365,0.845,0.735,3.4681053310632706,0.054351806640625,0.0
11,0.295,0.97,0.86,0.745,0.61,0.475,0.395,0.86,0.74,3.171055141836405,0.065826416015625,0.0
12,0.285,0.945,0.87,0.79,0.61,0.49,0.37,0.88,0.75,2.8806773349642754,0.0733184814453125,0.0
13,0.3,0.94,0.86,0.76,0.555,0.465,0.355,0.81,0.685,2.582019753754139,0.0854034423828125,0.0
14,0.27,0.92,0.885,0.765,0.625,0.49,0.37,0.845,0.745,2.306424666196108,0.0967559814453125,0.0
15,0.26,0.92,0.835,0.73,0.57,0.445,0.355,0.855,0.685,2.0597819462418556,0.106597900390625,0.0
16,0.255,0.95,0.88,0.73,0.575,0.435,0.345,0.82,0.715,1.7927677128463984,0.1215362548828125,0.0
17,0.25,0.96,0.865,0.71,0.56,0.47,0.34,0.85,0.725,1.5576051361858845,0.1315460205078125,0.0
18,0.25,0.945,0.85,0.72,0.535,0.455,0.325,0.765,0.665,1.3336797580122948,0.146728515625,0.0
19,0.265,0.905,0.855,0.73,0.58,0.44,0.345,0.765,0.66,1.1342601608484983,0.1576690673828125,0.0
20,0.26,0.94,0.84,0.695,0.56,0.445,0.37,0.795,0.67,0.9587993929162621,0.1697998046875,0.0
21,0.24,0.935,0.81,0.7,0.575,0.455,0.345,0.76,0.675,0.8008759077638388,0.180694580078125,0.0
22,0.225,0.9,0.81,0.69,0.55,0.445,0.29,0.775,0.625,0.6712662437930703,0.194305419921875,0.0
23,0.255,0.93,0.82,0.71,0.555,0.43,0.34,0.77,0.705,0.5719614024274051,0.2044219970703125,0.0
24,0.24,0.9,0.805,0.61,0.53,0.435,0.32,0.795,0.605,0.492422376293689,0.2139434814453125,0.0
25,0.25,0.915,0.835,0.745,0.53,0.42,0.365,0.77,0.635,0.41941524762660265,0.2231903076171875,0.0
26,0.255,0.945,0.81,0.7,0.53,0.425,0.36,0.755,0.64,0.36223053839057684,0.2332763671875,0.0
27,0.23,0.945,0.84,0.71,0.54,0.42,0.29,0.775,0.63,0.3253962369635701,0.23834228515625,0.0
28,0.26,0.91,0.81,0.67,0.53,0.405,0.325,0.745,0.63,0.2939682067371905,0.24462890625,0.0
29,0.225,0.925,0.825,0.71,0.51,0.395,0.325,0.765,0.665,0.2695637857541442,0.2467803955078125,0.0
30,0.245,0.92,0.795,0.69,0.53,0.415,0.325,0.77,0.67,0.2504402664490044,0.253021240234375,0.0
31,0.21,0.9,0.82,0.68,0.5,0.42,0.31,0.77,0.645,0.23440740536898375,0.2574310302734375,0.0
32,0.235,0.92,0.83,0.655,0.52,0.455,0.335,0.755,0.615,0.22460292745381594,0.2590789794921875,0.0
33,0.24,0.92,0.8,0.655,0.515,0.415,0.33,0.72,0.625,0.21258899522945285,0.2629852294921875,0.0
34,0.245,0.93,0.805,0.705,0.495,0.415,0.32,0.73,0.62,0.2046522037126124,0.264862060546875,0.0
35,0.235,0.905,0.795,0.67,0.5,0.385,0.315,0.77,0.63,0.19845936330966651,0.2682342529296875,0.0
36,0.245,0.905,0.84,0.685,0.515,0.445,0.29,0.76,0.63,0.19480526726692915,0.269775390625,0.0
37,0.255,0.915,0.855,0.665,0.505,0.405,0.31,0.755,0.62,0.18875729548744857,0.270355224609375,0.0
38,0.23,0.905,0.85,0.675,0.53,0.41,0.315,0.765,0.65,0.18333628796972334,0.272216796875,0.0
39,0.23,0.93,0.84,0.7,0.47,0.4,0.31,0.77,0.61,0.1816739528439939,0.2708282470703125,0.0
40,0.195,0.89,0.82,0.655,0.465,0.42,0.265,0.745,0.6,0.18000850197859108,0.27252197265625,0.0
7,0.305,0.915,0.885,0.715,0.55,0.495,0.385,0.79,0.7,4.3549667447805405,0.031982421875,0.0
