epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.025,0.67,0.43,0.195,0.08,0.06,0.045,0.22,0.13,7.7395127937197685,0.000885009765625,0.0
2,0.045,0.845,0.64,0.4,0.21,0.155,0.08,0.475,0.315,6.775875523686409,0.002471923828125,0.0
3,0.085,0.895,0.735,0.545,0.29,0.225,0.17,0.61,0.43,6.388604171574116,0.004730224609375,0.0
4,0.14,0.91,0.82,0.625,0.35,0.305,0.215,0.7,0.54,6.154724098742008,0.006134033203125,0.0
5,0.185,0.94,0.85,0.68,0.43,0.365,0.25,0.76,0.61,5.978634588420391,0.00762939453125,0.0
6,0.22,0.915,0.88,0.74,0.5,0.405,0.3,0.81,0.645,5.844111114740372,0.0092315673828125,0.0
7,0.245,0.945,0.86,0.735,0.53,0.405,0.335,0.845,0.685,5.7254771292209625,0.011138916015625,0.0
8,0.245,0.92,0.875,0.715,0.555,0.46,0.335,0.85,0.73,5.618501417338848,0.012420654296875,0.0
9,0.29,0.965,0.89,0.805,0.58,0.485,0.37,0.88,0.735,5.519666150212288,0.0135345458984375,0.0
10,0.25,0.965,0.9,0.74,0.56,0.47,0.335,0.89,0.775,5.4296653643250465,0.01519775390625,0.0
11,0.265,0.955,0.895,0.825,0.595,0.51,0.355,0.875,0.745,5.339468576014042,0.0159759521484375,0.0
12,0.275,0.955,0.935,0.77,0.615,0.5,0.365,0.895,0.78,5.249983765184879,0.0185089111328125,0.0
13,0.285,0.95,0.9,0.78,0.62,0.505,0.375,0.895,0.75,5.166084207594395,0.0195159912109375,0.0
14,0.245,0.955,0.88,0.775,0.595,0.465,0.35,0.87,0.77,5.087457329034805,0.01983642578125,0.0
15,0.24,0.95,0.86,0.775,0.605,0.49,0.375,0.865,0.755,4.992100454866886,0.0231475830078125,0.0
16,0.265,0.95,0.91,0.77,0.605,0.5,0.38,0.85,0.75,4.923745736479759,0.023284912109375,0.0
17,0.245,0.96,0.885,0.725,0.585,0.445,0.335,0.865,0.765,4.827338747680187,0.0251007080078125,0.0
18,0.275,0.965,0.89,0.775,0.615,0.475,0.345,0.895,0.78,4.756388545036316,0.0258941650390625,0.0
19,0.255,0.955,0.9,0.77,0.6,0.485,0.375,0.86,0.765,4.6843913197517395,0.02813720703125,0.0
20,0.27,0.965,0.91,0.79,0.62,0.475,0.37,0.885,0.74,4.6053667813539505,0.0290985107421875,0.0
21,0.27,0.945,0.88,0.74,0.575,0.485,0.355,0.865,0.715,4.534723974764347,0.0308837890625,0.0
22,0.255,0.95,0.875,0.74,0.57,0.45,0.335,0.845,0.745,4.458019353449345,0.0320281982421875,0.0
23,0.265,0.94,0.895,0.755,0.59,0.5,0.355,0.86,0.74,4.390973009169102,0.0333709716796875,0.0
24,0.29,0.965,0.89,0.76,0.58,0.47,0.375,0.88,0.745,4.317054107785225,0.0348663330078125,0.0
25,0.27,0.95,0.93,0.77,0.58,0.47,0.365,0.865,0.76,4.259266763925552,0.03704833984375,0.0
26,0.26,0.955,0.885,0.77,0.55,0.48,0.33,0.855,0.735,4.187286913394928,0.0374603271484375,0.0
27,0.265,0.93,0.88,0.765,0.575,0.445,0.365,0.865,0.745,4.128888878971338,0.0401153564453125,0.0
28,0.255,0.965,0.91,0.76,0.565,0.44,0.31,0.86,0.73,4.064391151070595,0.0417327880859375,0.0
29,0.275,0.94,0.905,0.79,0.58,0.475,0.35,0.855,0.725,3.9986214004456997,0.041778564453125,0.0
30,0.26,0.935,0.84,0.76,0.59,0.44,0.36,0.885,0.745,3.9513406082987785,0.044036865234375,0.0
31,0.25,0.97,0.87,0.75,0.6,0.44,0.34,0.885,0.735,3.881574410945177,0.045318603515625,0.0
32,0.275,0.96,0.915,0.78,0.575,0.46,0.35,0.86,0.74,3.8301254510879517,0.04632568359375,0.0
33,0.265,0.96,0.935,0.78,0.59,0.495,0.36,0.835,0.735,3.765653360635042,0.0464935302734375,0.0
34,0.24,0.955,0.895,0.76,0.585,0.485,0.345,0.84,0.74,3.710554715245962,0.0479583740234375,0.0
35,0.295,0.97,0.9,0.8,0.575,0.48,0.37,0.87,0.75,3.665128692984581,0.0498046875,0.0
36,0.26,0.98,0.925,0.765,0.56,0.48,0.365,0.85,0.72,3.6319090873003006,0.0511627197265625,0.0
37,0.275,0.96,0.88,0.715,0.565,0.5,0.33,0.81,0.71,3.5676383413374424,0.051849365234375,0.0
38,0.265,0.965,0.87,0.745,0.57,0.48,0.35,0.825,0.71,3.5163696631789207,0.0541229248046875,0.0
39,0.27,0.985,0.905,0.73,0.55,0.45,0.34,0.84,0.705,3.4736650697886944,0.0555267333984375,0.0
40,0.26,0.97,0.895,0.78,0.55,0.445,0.355,0.83,0.72,3.425828207284212,0.056060791015625,0.0
35,0.295,0.97,0.9,0.8,0.575,0.48,0.37,0.87,0.75,3.665128692984581,0.0498046875,0.0
