epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.56,0.285,0.125,0.05,0.025,0.005,0.14,0.065,7.123659007251263,0.000885009765625,0.0
2,0.025,0.755,0.555,0.33,0.175,0.12,0.065,0.365,0.23,6.6706646010279655,0.00164794921875,0.0
3,0.065,0.835,0.695,0.495,0.245,0.195,0.09,0.515,0.35,6.26084403693676,0.0038299560546875,0.0
4,0.105,0.88,0.76,0.555,0.335,0.27,0.185,0.62,0.47,5.9145301803946495,0.00714111328125,0.0
5,0.125,0.865,0.815,0.56,0.37,0.27,0.205,0.675,0.515,5.611913830041885,0.0103302001953125,0.0
6,0.13,0.9,0.745,0.58,0.38,0.305,0.18,0.665,0.53,5.336564980447292,0.0141143798828125,0.0
7,0.11,0.905,0.755,0.57,0.37,0.265,0.19,0.66,0.515,5.048597656190395,0.018646240234375,0.0
8,0.11,0.885,0.77,0.655,0.375,0.275,0.21,0.745,0.56,4.763017527759075,0.02398681640625,0.0
9,0.135,0.91,0.78,0.605,0.385,0.32,0.2,0.68,0.54,4.449254646897316,0.0306854248046875,0.0
10,0.16,0.905,0.825,0.64,0.44,0.35,0.21,0.705,0.595,4.133750166743994,0.037933349609375,0.0
11,0.175,0.9,0.8,0.635,0.415,0.365,0.26,0.69,0.58,3.8030348420143127,0.0475921630859375,0.0
12,0.155,0.94,0.825,0.62,0.425,0.33,0.245,0.675,0.515,3.47938060387969,0.0562896728515625,0.0
13,0.185,0.9,0.785,0.62,0.38,0.29,0.27,0.66,0.5,3.1515938490629196,0.06707763671875,0.0
14,0.125,0.915,0.795,0.56,0.385,0.275,0.185,0.68,0.53,2.845294162631035,0.076568603515625,0.0
15,0.17,0.895,0.835,0.64,0.42,0.315,0.23,0.695,0.535,2.524100609123707,0.0887298583984375,0.0
16,0.135,0.905,0.785,0.61,0.355,0.27,0.18,0.655,0.495,2.2266976200044155,0.1010589599609375,0.0
17,0.135,0.87,0.765,0.6,0.36,0.33,0.18,0.655,0.505,1.95312162861228,0.1129150390625,0.0
18,0.125,0.895,0.765,0.58,0.35,0.31,0.185,0.645,0.47,1.691605094820261,0.1246490478515625,0.0
19,0.14,0.875,0.725,0.525,0.315,0.275,0.17,0.595,0.475,1.4607878774404526,0.136871337890625,0.0
20,0.115,0.905,0.755,0.54,0.335,0.285,0.155,0.62,0.47,1.2452644649893045,0.1491546630859375,0.0
21,0.15,0.885,0.77,0.55,0.35,0.295,0.2,0.64,0.49,1.0524442521855235,0.161956787109375,0.0
22,0.12,0.88,0.795,0.585,0.34,0.26,0.16,0.635,0.465,0.8764254087582231,0.175537109375,0.0
23,0.13,0.865,0.755,0.505,0.295,0.23,0.165,0.565,0.395,0.7434741966426373,0.185211181640625,0.0
24,0.12,0.87,0.73,0.555,0.33,0.24,0.185,0.635,0.46,0.6237920830026269,0.1959686279296875,0.0
25,0.12,0.875,0.69,0.515,0.295,0.23,0.17,0.64,0.445,0.5304990601725876,0.206451416015625,0.0
26,0.145,0.9,0.75,0.565,0.335,0.275,0.235,0.635,0.485,0.45663938438519835,0.2175445556640625,0.0
27,0.13,0.875,0.685,0.495,0.275,0.245,0.16,0.575,0.42,0.3984855464659631,0.224029541015625,0.0
28,0.13,0.87,0.725,0.555,0.325,0.265,0.185,0.605,0.405,0.34817711217328906,0.231536865234375,0.0
29,0.115,0.835,0.69,0.525,0.285,0.22,0.165,0.54,0.42,0.3112000063993037,0.2381439208984375,0.0
30,0.115,0.825,0.685,0.495,0.34,0.245,0.175,0.59,0.455,0.28727813716977835,0.243408203125,0.0
31,0.115,0.845,0.715,0.52,0.29,0.255,0.17,0.57,0.375,0.2688368814997375,0.2452850341796875,0.0
32,0.105,0.85,0.765,0.53,0.33,0.265,0.175,0.6,0.44,0.249012227403,0.250885009765625,0.0
33,0.125,0.84,0.65,0.52,0.295,0.245,0.19,0.595,0.405,0.23759327875450253,0.2533416748046875,0.0
34,0.095,0.88,0.73,0.585,0.315,0.24,0.165,0.665,0.475,0.22626719088293612,0.2567138671875,0.0
35,0.115,0.895,0.71,0.535,0.32,0.24,0.165,0.575,0.45,0.2170894171576947,0.2586669921875,0.0
36,0.125,0.83,0.655,0.5,0.28,0.255,0.145,0.585,0.45,0.20805230643600225,0.260955810546875,0.0
37,0.1,0.84,0.705,0.505,0.32,0.245,0.18,0.58,0.45,0.20275769080035388,0.261993408203125,0.0
38,0.105,0.855,0.68,0.505,0.295,0.235,0.16,0.55,0.42,0.19802756304852664,0.2629241943359375,0.0
39,0.12,0.895,0.72,0.55,0.325,0.265,0.19,0.605,0.435,0.19074304029345512,0.26446533203125,0.0
40,0.12,0.835,0.73,0.475,0.305,0.25,0.18,0.58,0.41,0.18971417844295502,0.266021728515625,0.0
13,0.185,0.9,0.785,0.62,0.38,0.29,0.27,0.66,0.5,3.1515938490629196,0.06707763671875,0.0
