epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.49,0.26,0.13,0.03,0.02,0.015,0.115,0.06,7.17657545208931,0.0008392333984375,0.0
2,0.015,0.665,0.465,0.21,0.115,0.05,0.025,0.235,0.14,6.445041075348854,0.0032196044921875,0.0
3,0.06,0.78,0.605,0.365,0.2,0.14,0.085,0.405,0.305,5.979052074253559,0.0069580078125,0.0
4,0.085,0.885,0.72,0.46,0.25,0.205,0.145,0.535,0.335,5.704919025301933,0.009735107421875,0.0
5,0.135,0.92,0.76,0.66,0.405,0.295,0.21,0.66,0.49,5.5057505667209625,0.0114288330078125,0.0
6,0.15,0.95,0.82,0.665,0.45,0.34,0.23,0.715,0.6,5.333355262875557,0.014190673828125,0.0
7,0.17,0.94,0.83,0.67,0.44,0.33,0.235,0.735,0.56,5.19096552580595,0.01617431640625,0.0
8,0.17,0.94,0.885,0.73,0.51,0.37,0.285,0.83,0.68,5.050185605883598,0.0186614990234375,0.0
9,0.215,0.935,0.825,0.73,0.515,0.425,0.315,0.815,0.66,4.917493015527725,0.0210418701171875,0.0
10,0.2,0.955,0.91,0.76,0.54,0.455,0.31,0.85,0.695,4.790542803704739,0.0229034423828125,0.0
11,0.22,0.955,0.845,0.705,0.565,0.445,0.315,0.8,0.69,4.656861841678619,0.0250396728515625,0.0
12,0.215,0.95,0.88,0.775,0.56,0.445,0.3,0.835,0.71,4.546025022864342,0.027740478515625,0.0
13,0.19,0.945,0.89,0.74,0.585,0.47,0.295,0.82,0.705,4.414262540638447,0.030120849609375,0.0
14,0.21,0.95,0.875,0.725,0.595,0.45,0.31,0.83,0.695,4.290542669594288,0.0322265625,0.0
15,0.215,0.95,0.905,0.74,0.56,0.46,0.325,0.835,0.715,4.174493782222271,0.0349273681640625,0.0
16,0.245,0.955,0.81,0.72,0.54,0.42,0.335,0.835,0.68,4.053343191742897,0.036468505859375,0.0
17,0.24,0.965,0.915,0.76,0.58,0.435,0.315,0.865,0.705,3.9373571947216988,0.039306640625,0.0
18,0.245,0.935,0.885,0.79,0.6,0.435,0.37,0.835,0.715,3.8335033878684044,0.042694091796875,0.0
19,0.25,0.955,0.875,0.76,0.595,0.455,0.38,0.845,0.685,3.731213264167309,0.0443267822265625,0.0
20,0.255,0.96,0.88,0.72,0.58,0.455,0.35,0.805,0.71,3.6275291591882706,0.0464019775390625,0.0
21,0.25,0.94,0.84,0.755,0.565,0.445,0.36,0.815,0.695,3.5304057374596596,0.0489959716796875,0.0
22,0.22,0.97,0.855,0.755,0.57,0.455,0.335,0.85,0.705,3.4214338175952435,0.0510406494140625,0.0
23,0.28,0.945,0.875,0.725,0.555,0.5,0.38,0.83,0.7,3.3387622088193893,0.054229736328125,0.0
24,0.23,0.93,0.875,0.73,0.54,0.41,0.31,0.875,0.68,3.2447513453662395,0.0563507080078125,0.0
25,0.21,0.93,0.89,0.74,0.565,0.465,0.34,0.82,0.705,3.1624941267073154,0.059295654296875,0.0
26,0.23,0.955,0.9,0.76,0.585,0.44,0.345,0.885,0.73,3.0716276578605175,0.06097412109375,0.0
27,0.225,0.935,0.89,0.75,0.605,0.48,0.34,0.85,0.74,2.9821413792669773,0.0647735595703125,0.0
28,0.255,0.945,0.85,0.745,0.565,0.465,0.365,0.84,0.725,2.9081066735088825,0.066436767578125,0.0
29,0.235,0.945,0.885,0.745,0.58,0.425,0.32,0.825,0.72,2.8392491713166237,0.068450927734375,0.0
30,0.255,0.92,0.87,0.715,0.565,0.455,0.35,0.83,0.69,2.754875298589468,0.071380615234375,0.0
31,0.23,0.955,0.88,0.75,0.565,0.43,0.34,0.855,0.72,2.691537983715534,0.073211669921875,0.0
32,0.21,0.96,0.875,0.77,0.585,0.45,0.335,0.835,0.66,2.610761374235153,0.076416015625,0.0
33,0.245,0.95,0.875,0.725,0.58,0.47,0.365,0.84,0.73,2.546793393790722,0.0786590576171875,0.0
34,0.26,0.965,0.85,0.76,0.565,0.47,0.33,0.825,0.705,2.481238342821598,0.0807037353515625,0.0
35,0.235,0.955,0.875,0.735,0.555,0.43,0.34,0.835,0.68,2.4231083542108536,0.0829010009765625,0.0
36,0.245,0.96,0.87,0.72,0.555,0.445,0.325,0.83,0.675,2.356835164129734,0.0834808349609375,0.0
37,0.215,0.95,0.885,0.76,0.565,0.435,0.3,0.84,0.68,2.296600319445133,0.0869140625,0.0
38,0.225,0.94,0.88,0.745,0.555,0.415,0.31,0.825,0.72,2.253247618675232,0.088958740234375,0.0
39,0.275,0.94,0.91,0.73,0.595,0.48,0.35,0.84,0.705,2.1955819092690945,0.0913543701171875,0.0
40,0.24,0.955,0.86,0.725,0.59,0.465,0.33,0.815,0.685,2.145417056977749,0.0922393798828125,0.0
23,0.28,0.945,0.875,0.725,0.555,0.5,0.38,0.83,0.7,3.3387622088193893,0.054229736328125,0.0
