epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.03,0.845,0.665,0.405,0.19,0.15,0.075,0.425,0.295,6.986020788550377,0.00140380859375,0.0
2,0.14,0.89,0.765,0.65,0.395,0.345,0.24,0.745,0.565,6.104788713157177,0.00506591796875,0.0
3,0.195,0.94,0.82,0.68,0.52,0.375,0.305,0.78,0.64,5.624694235622883,0.0106048583984375,0.0
4,0.23,0.975,0.855,0.72,0.53,0.435,0.295,0.77,0.655,5.305929385125637,0.01593017578125,0.0
5,0.225,0.96,0.89,0.715,0.555,0.44,0.36,0.82,0.675,5.019366256892681,0.0210113525390625,0.0
6,0.27,0.95,0.905,0.76,0.59,0.52,0.425,0.845,0.71,4.732336230576038,0.026214599609375,0.0
7,0.23,0.94,0.865,0.775,0.565,0.49,0.365,0.84,0.68,4.434217661619186,0.0329437255859375,0.0
8,0.26,0.935,0.855,0.725,0.58,0.48,0.34,0.83,0.695,4.12985660135746,0.039947509765625,0.0
9,0.245,0.95,0.91,0.74,0.59,0.475,0.355,0.83,0.725,3.821220997720957,0.046875,0.0
10,0.245,0.925,0.91,0.755,0.595,0.485,0.335,0.795,0.72,3.5277254953980446,0.0560760498046875,0.0
11,0.26,0.96,0.87,0.805,0.585,0.465,0.345,0.835,0.715,3.236190740019083,0.0640716552734375,0.0
12,0.245,0.93,0.88,0.785,0.59,0.445,0.355,0.81,0.69,2.9566532783210278,0.0732269287109375,0.0
13,0.24,0.945,0.905,0.71,0.59,0.48,0.37,0.82,0.665,2.697053425014019,0.0837554931640625,0.0
14,0.255,0.945,0.855,0.685,0.59,0.515,0.33,0.79,0.69,2.4443387798964977,0.09161376953125,0.0
15,0.28,0.94,0.86,0.75,0.575,0.45,0.385,0.8,0.68,2.2085482589900494,0.100250244140625,0.0
16,0.27,0.935,0.9,0.695,0.575,0.48,0.405,0.83,0.67,1.9897328838706017,0.11090087890625,0.0
17,0.24,0.965,0.83,0.7,0.575,0.485,0.365,0.815,0.685,1.7918463107198477,0.118927001953125,0.0
18,0.265,0.955,0.915,0.715,0.62,0.46,0.37,0.825,0.715,1.5994747206568718,0.1286468505859375,0.0
19,0.285,0.925,0.875,0.775,0.595,0.505,0.37,0.8,0.705,1.4312644377350807,0.1382598876953125,0.0
20,0.23,0.935,0.87,0.745,0.59,0.465,0.325,0.805,0.685,1.279466725885868,0.14794921875,0.0
21,0.25,0.96,0.88,0.74,0.6,0.455,0.345,0.81,0.715,1.150642754510045,0.15771484375,0.0
22,0.26,0.965,0.86,0.785,0.595,0.45,0.345,0.8,0.705,1.0250195609405637,0.1663818359375,0.0
23,0.265,0.945,0.85,0.79,0.585,0.46,0.365,0.78,0.695,0.9267908502370119,0.1744232177734375,0.0
24,0.26,0.97,0.905,0.745,0.595,0.47,0.355,0.805,0.685,0.8408624799922109,0.1798553466796875,0.0
25,0.28,0.92,0.895,0.715,0.595,0.475,0.365,0.82,0.685,0.7632618499919772,0.1879730224609375,0.0
26,0.255,0.96,0.82,0.715,0.605,0.485,0.335,0.775,0.7,0.6963373618200421,0.199432373046875,0.0
27,0.255,0.945,0.845,0.715,0.615,0.495,0.37,0.8,0.715,0.6420795703306794,0.2035064697265625,0.0
28,0.23,0.955,0.865,0.695,0.565,0.43,0.34,0.81,0.66,0.5976120037958026,0.2084197998046875,0.0
29,0.195,0.945,0.875,0.725,0.57,0.455,0.325,0.79,0.65,0.5614382056519389,0.2133026123046875,0.0
30,0.23,0.925,0.825,0.71,0.625,0.5,0.355,0.8,0.695,0.5276376833207905,0.219482421875,0.0
31,0.235,0.94,0.845,0.72,0.585,0.495,0.35,0.805,0.705,0.5008203713223338,0.2234344482421875,0.0
32,0.24,0.94,0.84,0.715,0.59,0.455,0.36,0.78,0.685,0.4745465647429228,0.2286834716796875,0.0
33,0.24,0.935,0.88,0.72,0.57,0.43,0.355,0.775,0.66,0.45517401210963726,0.23211669921875,0.0
34,0.22,0.96,0.88,0.725,0.6,0.46,0.355,0.82,0.685,0.43392894323915243,0.2333984375,0.0
35,0.235,0.965,0.86,0.73,0.595,0.46,0.355,0.805,0.67,0.4164160490036011,0.238037109375,0.0
36,0.2,0.92,0.86,0.715,0.55,0.435,0.32,0.785,0.665,0.40163490641862154,0.2418670654296875,0.0
37,0.24,0.93,0.875,0.725,0.57,0.455,0.335,0.78,0.715,0.39241883624345064,0.243255615234375,0.0
38,0.22,0.96,0.885,0.75,0.57,0.45,0.335,0.8,0.705,0.37947934912517667,0.2464752197265625,0.0
39,0.22,0.95,0.86,0.71,0.575,0.48,0.33,0.785,0.705,0.37011898774653673,0.2451934814453125,0.0
40,0.235,0.94,0.87,0.695,0.575,0.455,0.355,0.795,0.72,0.36142888851463795,0.2489166259765625,0.0
19,0.285,0.925,0.875,0.775,0.595,0.505,0.37,0.8,0.705,1.4312644377350807,0.1382598876953125,0.0
