epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.55,0.29,0.09,0.03,0.02,0.01,0.125,0.06,6.780544720590115,0.001922607421875,0.0
2,0.005,0.575,0.345,0.15,0.05,0.04,0.015,0.14,0.1,6.225677780807018,0.0056915283203125,0.0
3,0.01,0.615,0.395,0.25,0.075,0.065,0.015,0.23,0.14,5.9344969391822815,0.0092620849609375,0.0
4,0.055,0.725,0.545,0.39,0.15,0.145,0.075,0.355,0.275,5.741698727011681,0.0106353759765625,0.0
5,0.105,0.885,0.7,0.475,0.29,0.22,0.165,0.615,0.42,5.598155304789543,0.01226806640625,0.0
6,0.165,0.935,0.83,0.67,0.455,0.355,0.245,0.745,0.61,5.475233942270279,0.0142822265625,0.0
7,0.205,0.97,0.84,0.685,0.495,0.39,0.275,0.81,0.645,5.372477166354656,0.01580810546875,0.0
8,0.255,0.925,0.84,0.69,0.565,0.465,0.33,0.81,0.68,5.284698277711868,0.0176544189453125,0.0
9,0.22,0.955,0.915,0.69,0.545,0.42,0.315,0.805,0.685,5.199157156050205,0.0187225341796875,0.0
10,0.215,0.94,0.855,0.735,0.555,0.42,0.32,0.795,0.69,5.12410282343626,0.0194549560546875,0.0
11,0.205,0.96,0.85,0.69,0.56,0.435,0.325,0.81,0.665,5.063818208873272,0.0203857421875,0.0
12,0.185,0.9,0.825,0.725,0.565,0.44,0.31,0.82,0.7,4.994777172803879,0.0222015380859375,0.0
13,0.205,0.93,0.89,0.71,0.56,0.4,0.32,0.805,0.685,4.9383659437298775,0.0230560302734375,0.0
14,0.18,0.95,0.855,0.71,0.555,0.39,0.34,0.83,0.675,4.875797122716904,0.0232696533203125,0.0
15,0.2,0.935,0.85,0.695,0.535,0.4,0.29,0.815,0.69,4.834081545472145,0.0258636474609375,0.0
16,0.19,0.94,0.86,0.675,0.525,0.415,0.29,0.79,0.655,4.778925947844982,0.02520751953125,0.0
17,0.185,0.93,0.85,0.69,0.51,0.42,0.33,0.825,0.66,4.737518660724163,0.025634765625,0.0
18,0.185,0.94,0.85,0.675,0.51,0.39,0.28,0.78,0.64,4.694194786250591,0.0267486572265625,0.0
19,0.18,0.92,0.885,0.665,0.5,0.415,0.265,0.83,0.65,4.658042803406715,0.0279541015625,0.0
20,0.17,0.945,0.865,0.74,0.5,0.36,0.245,0.795,0.66,4.625274449586868,0.02801513671875,0.0
21,0.195,0.915,0.83,0.66,0.465,0.36,0.29,0.815,0.645,4.584436133503914,0.0283050537109375,0.0
22,0.185,0.935,0.86,0.7,0.49,0.385,0.305,0.79,0.63,4.547783635556698,0.0294952392578125,0.0
23,0.17,0.95,0.805,0.705,0.47,0.4,0.27,0.82,0.64,4.512051448225975,0.02960205078125,0.0
24,0.18,0.925,0.86,0.63,0.475,0.37,0.26,0.765,0.625,4.488335654139519,0.0305023193359375,0.0
25,0.19,0.935,0.875,0.755,0.475,0.395,0.26,0.8,0.645,4.46020532399416,0.0296478271484375,0.0
26,0.185,0.905,0.855,0.705,0.495,0.405,0.275,0.77,0.645,4.427866078913212,0.0316009521484375,0.0
27,0.175,0.925,0.885,0.68,0.485,0.445,0.275,0.785,0.615,4.402779333293438,0.032501220703125,0.0
28,0.185,0.945,0.86,0.725,0.475,0.405,0.32,0.82,0.64,4.379699312150478,0.0316619873046875,0.0
29,0.155,0.89,0.85,0.68,0.45,0.385,0.27,0.795,0.635,4.342712767422199,0.0326690673828125,0.0
30,0.18,0.92,0.815,0.675,0.45,0.365,0.29,0.765,0.65,4.318398512899876,0.0328521728515625,0.0
31,0.195,0.93,0.84,0.74,0.455,0.37,0.275,0.78,0.63,4.300368994474411,0.034698486328125,0.0
32,0.185,0.955,0.86,0.675,0.455,0.375,0.25,0.795,0.62,4.272042386233807,0.0333099365234375,0.0
33,0.185,0.89,0.83,0.65,0.475,0.4,0.265,0.77,0.635,4.251355715095997,0.034271240234375,0.0
34,0.205,0.93,0.855,0.655,0.485,0.38,0.28,0.8,0.625,4.223263323307037,0.03399658203125,0.0
35,0.185,0.925,0.845,0.7,0.48,0.4,0.25,0.785,0.64,4.206725038588047,0.03466796875,0.0
36,0.185,0.925,0.85,0.7,0.48,0.37,0.265,0.785,0.645,4.172759175300598,0.0350494384765625,0.0
37,0.19,0.915,0.845,0.7,0.485,0.435,0.31,0.8,0.64,4.164618328213692,0.0355377197265625,0.0
38,0.17,0.955,0.825,0.705,0.495,0.365,0.27,0.78,0.685,4.147263985127211,0.035400390625,0.0
39,0.175,0.935,0.91,0.69,0.495,0.365,0.25,0.785,0.645,4.12160474807024,0.036865234375,0.0
40,0.195,0.945,0.82,0.71,0.5,0.42,0.26,0.77,0.615,4.111715976148844,0.036224365234375,0.0
8,0.255,0.925,0.84,0.69,0.565,0.465,0.33,0.81,0.68,5.284698277711868,0.0176544189453125,0.0
