epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.515,0.23,0.11,0.025,0.02,0.01,0.095,0.045,7.265650250017643,0.000701904296875,0.0
2,0.005,0.605,0.37,0.175,0.06,0.05,0.02,0.17,0.085,6.678936637938023,0.001953125,0.0
3,0.04,0.78,0.515,0.385,0.125,0.1,0.07,0.385,0.225,6.202252380549908,0.004791259765625,0.0
4,0.08,0.78,0.685,0.44,0.25,0.22,0.115,0.535,0.37,5.931688986718655,0.0070648193359375,0.0
5,0.105,0.895,0.76,0.505,0.325,0.26,0.19,0.625,0.48,5.744470544159412,0.0094451904296875,0.0
6,0.14,0.925,0.79,0.68,0.42,0.33,0.22,0.72,0.585,5.596017993986607,0.011627197265625,0.0
7,0.165,0.945,0.79,0.645,0.475,0.375,0.235,0.775,0.63,5.464543774724007,0.01312255859375,0.0
8,0.195,0.92,0.835,0.705,0.48,0.425,0.265,0.795,0.635,5.333231598138809,0.015533447265625,0.0
9,0.17,0.94,0.895,0.7,0.47,0.395,0.23,0.815,0.63,5.205350898206234,0.0173187255859375,0.0
10,0.185,0.955,0.88,0.715,0.49,0.365,0.265,0.82,0.64,5.085836887359619,0.0189361572265625,0.0
11,0.185,0.915,0.85,0.785,0.515,0.4,0.3,0.85,0.685,4.955890864133835,0.0210418701171875,0.0
12,0.185,0.925,0.86,0.69,0.47,0.35,0.265,0.805,0.6,4.842558957636356,0.0224609375,0.0
13,0.18,0.915,0.815,0.68,0.45,0.4,0.27,0.75,0.585,4.717733204364777,0.024383544921875,0.0
14,0.17,0.925,0.84,0.7,0.455,0.395,0.275,0.82,0.65,4.596733644604683,0.02777099609375,0.0
15,0.195,0.925,0.82,0.655,0.465,0.36,0.26,0.79,0.64,4.4758065193891525,0.0293731689453125,0.0
16,0.185,0.93,0.835,0.71,0.45,0.38,0.275,0.765,0.61,4.360020205378532,0.0301971435546875,0.0
17,0.165,0.915,0.82,0.7,0.5,0.36,0.28,0.805,0.65,4.244157992303371,0.0333709716796875,0.0
18,0.175,0.925,0.865,0.685,0.48,0.375,0.3,0.8,0.665,4.1332946084439754,0.0357666015625,0.0
19,0.175,0.925,0.81,0.65,0.455,0.385,0.245,0.775,0.65,4.020417511463165,0.0386199951171875,0.0
20,0.195,0.9,0.855,0.705,0.52,0.395,0.29,0.79,0.66,3.9225877299904823,0.0406341552734375,0.0
21,0.175,0.92,0.83,0.695,0.54,0.415,0.28,0.78,0.67,3.8227187991142273,0.0421142578125,0.0
22,0.15,0.94,0.84,0.645,0.515,0.355,0.255,0.775,0.655,3.722004819661379,0.0438995361328125,0.0
23,0.19,0.89,0.845,0.66,0.495,0.385,0.24,0.77,0.625,3.626355577260256,0.046966552734375,0.0
24,0.165,0.91,0.835,0.67,0.475,0.345,0.245,0.765,0.65,3.532469902187586,0.0494537353515625,0.0
25,0.145,0.93,0.84,0.665,0.46,0.375,0.225,0.77,0.62,3.4335341341793537,0.0515289306640625,0.0
26,0.18,0.925,0.875,0.685,0.475,0.39,0.22,0.77,0.61,3.3557549342513084,0.0542755126953125,0.0
27,0.2,0.95,0.86,0.675,0.47,0.415,0.305,0.74,0.64,3.2623408064246178,0.055938720703125,0.0
28,0.17,0.93,0.77,0.72,0.46,0.345,0.25,0.77,0.615,3.1761056818068027,0.057159423828125,0.0
29,0.175,0.94,0.855,0.685,0.485,0.37,0.27,0.77,0.625,3.1000707149505615,0.0602874755859375,0.0
30,0.2,0.91,0.83,0.675,0.43,0.35,0.245,0.77,0.62,3.0219259038567543,0.0627288818359375,0.0
31,0.185,0.94,0.835,0.63,0.47,0.33,0.26,0.78,0.625,2.9374582692980766,0.0634613037109375,0.0
32,0.19,0.94,0.805,0.685,0.425,0.355,0.255,0.73,0.61,2.8636480793356895,0.0672760009765625,0.0
33,0.195,0.92,0.84,0.7,0.465,0.355,0.275,0.75,0.6,2.7986439913511276,0.0686798095703125,0.0
34,0.17,0.915,0.8,0.645,0.445,0.34,0.225,0.745,0.595,2.734937708824873,0.0720977783203125,0.0
35,0.165,0.9,0.83,0.62,0.45,0.34,0.235,0.73,0.605,2.657320275902748,0.073699951171875,0.0
36,0.195,0.915,0.83,0.63,0.455,0.315,0.26,0.765,0.62,2.6042730771005154,0.0753173828125,0.0
37,0.18,0.92,0.815,0.635,0.43,0.335,0.24,0.715,0.58,2.540733963251114,0.078826904296875,0.0
38,0.18,0.925,0.79,0.665,0.425,0.335,0.255,0.715,0.555,2.4645773209631443,0.0788726806640625,0.0
39,0.16,0.9,0.82,0.655,0.41,0.34,0.225,0.75,0.565,2.4051247499883175,0.08209228515625,0.0
40,0.17,0.945,0.82,0.66,0.435,0.37,0.26,0.79,0.59,2.3560412898659706,0.0848388671875,0.0
27,0.2,0.95,0.86,0.675,0.47,0.415,0.305,0.74,0.64,3.2623408064246178,0.055938720703125,0.0
