epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.5,0.255,0.08,0.025,0.03,0.01,0.08,0.04,6.978135906159878,0.0008087158203125,0.0
2,0.01,0.605,0.375,0.14,0.035,0.03,0.02,0.15,0.075,6.834260202944279,0.0017242431640625,0.0
3,0.02,0.7,0.475,0.295,0.115,0.085,0.04,0.305,0.2,6.35965683311224,0.004852294921875,0.0
4,0.08,0.85,0.65,0.425,0.22,0.16,0.12,0.5,0.35,6.151193842291832,0.008056640625,0.0
5,0.145,0.905,0.76,0.57,0.345,0.29,0.19,0.64,0.495,6.021670788526535,0.009063720703125,0.0
6,0.165,0.93,0.795,0.675,0.455,0.33,0.235,0.74,0.615,5.9209615886211395,0.0122528076171875,0.0
7,0.205,0.97,0.865,0.75,0.525,0.405,0.28,0.81,0.69,5.834834016859531,0.013946533203125,0.0
8,0.26,0.97,0.895,0.73,0.59,0.485,0.365,0.845,0.76,5.755241751670837,0.0155029296875,0.0
9,0.28,0.95,0.915,0.795,0.65,0.51,0.4,0.86,0.795,5.689664296805859,0.01776123046875,0.0
10,0.31,0.965,0.89,0.785,0.62,0.5,0.39,0.875,0.755,5.612259514629841,0.0185089111328125,0.0
11,0.3,0.95,0.92,0.795,0.655,0.55,0.39,0.885,0.785,5.546069942414761,0.020477294921875,0.0
12,0.305,0.98,0.89,0.8,0.63,0.495,0.41,0.88,0.745,5.482379205524921,0.02178955078125,0.0
13,0.27,0.97,0.875,0.79,0.66,0.55,0.405,0.885,0.75,5.415800668299198,0.02362060546875,0.0
14,0.33,0.985,0.915,0.83,0.68,0.54,0.45,0.89,0.77,5.353363834321499,0.025146484375,0.0
15,0.345,0.94,0.91,0.83,0.685,0.575,0.425,0.89,0.785,5.291889026761055,0.0272979736328125,0.0
16,0.345,0.975,0.91,0.825,0.69,0.595,0.43,0.895,0.79,5.226148873567581,0.028839111328125,0.0
17,0.34,0.96,0.945,0.835,0.695,0.57,0.455,0.915,0.795,5.166750818490982,0.030548095703125,0.0
18,0.33,0.965,0.925,0.795,0.68,0.585,0.435,0.92,0.78,5.103191591799259,0.0331878662109375,0.0
19,0.33,0.97,0.915,0.815,0.695,0.57,0.435,0.89,0.8,5.0425922349095345,0.0342864990234375,0.0
20,0.35,0.975,0.89,0.8,0.7,0.615,0.445,0.905,0.81,4.9748900309205055,0.0362396240234375,0.0
21,0.35,0.965,0.915,0.825,0.69,0.615,0.455,0.915,0.8,4.910244733095169,0.03851318359375,0.0
22,0.36,0.97,0.905,0.805,0.675,0.565,0.455,0.905,0.795,4.85212117433548,0.0397186279296875,0.0
23,0.325,0.975,0.91,0.805,0.65,0.515,0.45,0.91,0.8,4.787834085524082,0.0416717529296875,0.0
24,0.33,0.95,0.92,0.815,0.67,0.55,0.41,0.915,0.795,4.724642187356949,0.043853759765625,0.0
25,0.335,0.96,0.9,0.85,0.655,0.53,0.46,0.895,0.77,4.654842011630535,0.046112060546875,0.0
26,0.34,0.98,0.91,0.81,0.69,0.55,0.42,0.88,0.8,4.591954089701176,0.0484466552734375,0.0
27,0.36,0.97,0.9,0.84,0.695,0.595,0.495,0.915,0.815,4.527857482433319,0.049774169921875,0.0
28,0.35,0.975,0.93,0.85,0.7,0.575,0.475,0.905,0.78,4.460646525025368,0.051239013671875,0.0
29,0.375,0.965,0.915,0.87,0.7,0.585,0.475,0.935,0.86,4.389685608446598,0.055145263671875,0.0
30,0.365,0.975,0.915,0.825,0.685,0.565,0.455,0.9,0.8,4.320183031260967,0.0574951171875,0.0
31,0.37,0.98,0.93,0.815,0.7,0.595,0.465,0.91,0.805,4.252813898026943,0.060333251953125,0.0
32,0.335,0.96,0.915,0.8,0.665,0.57,0.495,0.89,0.815,4.187537729740143,0.0620269775390625,0.0
33,0.38,0.96,0.935,0.795,0.715,0.565,0.47,0.905,0.82,4.118076637387276,0.064178466796875,0.0
34,0.36,0.955,0.94,0.81,0.695,0.605,0.48,0.94,0.855,4.0420892387628555,0.06573486328125,0.0
35,0.35,0.935,0.865,0.785,0.665,0.555,0.42,0.87,0.755,3.9771377071738243,0.0693511962890625,0.0
36,0.36,0.97,0.895,0.83,0.73,0.615,0.495,0.935,0.835,3.916300043463707,0.069610595703125,0.0
37,0.37,0.975,0.935,0.84,0.685,0.555,0.47,0.92,0.845,3.839497361332178,0.0724334716796875,0.0
38,0.365,0.96,0.89,0.805,0.69,0.56,0.455,0.875,0.78,3.7761754132807255,0.076080322265625,0.0
39,0.36,0.985,0.93,0.85,0.7,0.595,0.46,0.92,0.825,3.7107683792710304,0.0791015625,0.0
40,0.36,0.96,0.925,0.83,0.7,0.62,0.445,0.92,0.825,3.642224460840225,0.082366943359375,0.0
41,0.395,0.96,0.955,0.83,0.73,0.605,0.49,0.925,0.86,3.5745260007679462,0.08160400390625,0.0
42,0.35,0.97,0.905,0.84,0.7,0.56,0.435,0.895,0.83,3.5065773017704487,0.0849456787109375,0.0
43,0.38,0.985,0.935,0.82,0.725,0.585,0.465,0.93,0.845,3.4376429580152035,0.0887603759765625,0.0
44,0.415,0.96,0.91,0.86,0.72,0.57,0.52,0.91,0.845,3.3734721541404724,0.09039306640625,0.0
45,0.35,0.945,0.93,0.84,0.725,0.585,0.45,0.905,0.855,3.30311680957675,0.0915374755859375,0.0
46,0.385,0.975,0.895,0.86,0.715,0.61,0.49,0.925,0.835,3.239260695874691,0.0941314697265625,0.0
47,0.385,0.985,0.93,0.88,0.715,0.57,0.5,0.935,0.83,3.1745438389480114,0.09710693359375,0.0
48,0.34,0.975,0.9,0.82,0.69,0.54,0.48,0.88,0.77,3.115651462227106,0.0978851318359375,0.0
49,0.375,0.95,0.94,0.83,0.675,0.59,0.46,0.875,0.795,3.0599276460707188,0.1000213623046875,0.0
50,0.36,0.95,0.925,0.815,0.69,0.56,0.455,0.925,0.815,2.999588869512081,0.103118896484375,0.0
51,0.365,0.965,0.9,0.81,0.695,0.625,0.49,0.89,0.825,2.9352398365736008,0.10516357421875,0.0
52,0.355,0.95,0.925,0.8,0.68,0.535,0.44,0.905,0.835,2.875609364360571,0.106353759765625,0.0
53,0.43,0.94,0.93,0.895,0.715,0.635,0.495,0.935,0.84,2.817199654877186,0.1092529296875,0.0
54,0.355,0.965,0.94,0.86,0.695,0.56,0.44,0.925,0.82,2.7666314467787743,0.1113739013671875,0.0
55,0.395,0.975,0.905,0.79,0.72,0.6,0.475,0.885,0.83,2.7054953277111053,0.1125946044921875,0.0
56,0.35,0.98,0.905,0.825,0.7,0.595,0.44,0.935,0.805,2.649635173380375,0.1151123046875,0.0
57,0.395,0.975,0.92,0.84,0.68,0.57,0.46,0.91,0.82,2.6009005308151245,0.11761474609375,0.0
58,0.335,0.97,0.925,0.765,0.685,0.555,0.455,0.895,0.805,2.539573848247528,0.12103271484375,0.0
59,0.395,0.97,0.92,0.81,0.685,0.6,0.48,0.915,0.84,2.4968428313732147,0.1226348876953125,0.0
