epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.46,0.27,0.105,0.025,0.005,0.005,0.1,0.055,6.98369799554348,0.0005950927734375,0.0
2,0.005,0.52,0.27,0.105,0.025,0.025,0.015,0.115,0.06,6.963211603462696,0.00048828125,0.0
3,0.03,0.63,0.38,0.195,0.07,0.04,0.045,0.205,0.1,6.84803930670023,0.001220703125,0.0
4,0.03,0.76,0.49,0.29,0.145,0.12,0.05,0.32,0.21,6.6277177557349205,0.0028228759765625,0.0
5,0.07,0.85,0.665,0.445,0.235,0.21,0.12,0.5,0.31,6.432737022638321,0.0044097900390625,0.0
6,0.075,0.845,0.72,0.515,0.275,0.23,0.145,0.56,0.425,6.314797796308994,0.0059051513671875,0.0
7,0.12,0.89,0.73,0.565,0.365,0.275,0.205,0.65,0.455,6.224348962306976,0.007537841796875,0.0
8,0.145,0.91,0.815,0.6,0.37,0.325,0.19,0.67,0.55,6.147596329450607,0.00811767578125,0.0
9,0.115,0.93,0.775,0.6,0.425,0.31,0.19,0.695,0.565,6.074070028960705,0.0094146728515625,0.0
10,0.15,0.905,0.825,0.63,0.475,0.34,0.215,0.745,0.605,6.010826788842678,0.010772705078125,0.0
11,0.18,0.925,0.83,0.62,0.445,0.35,0.275,0.68,0.57,5.946655586361885,0.0113067626953125,0.0
12,0.19,0.895,0.85,0.68,0.485,0.385,0.27,0.735,0.6,5.887701742351055,0.0125579833984375,0.0
13,0.185,0.91,0.79,0.665,0.43,0.35,0.25,0.705,0.575,5.824321366846561,0.01422119140625,0.0
14,0.18,0.905,0.815,0.68,0.46,0.37,0.29,0.73,0.605,5.764503702521324,0.0155181884765625,0.0
15,0.22,0.925,0.875,0.68,0.49,0.415,0.305,0.785,0.615,5.705296121537685,0.016265869140625,0.0
16,0.225,0.905,0.855,0.705,0.47,0.365,0.315,0.77,0.625,5.638854458928108,0.018463134765625,0.0
17,0.205,0.93,0.845,0.635,0.525,0.395,0.295,0.74,0.64,5.58526373654604,0.0194244384765625,0.0
18,0.235,0.925,0.88,0.715,0.525,0.425,0.305,0.77,0.64,5.5214811116456985,0.021209716796875,0.0
19,0.195,0.91,0.85,0.705,0.495,0.43,0.275,0.78,0.64,5.457270555198193,0.0219879150390625,0.0
20,0.2,0.95,0.85,0.705,0.54,0.365,0.32,0.76,0.645,5.401101782917976,0.0225830078125,0.0
21,0.215,0.93,0.88,0.69,0.53,0.4,0.33,0.77,0.66,5.341134317219257,0.024627685546875,0.0
22,0.2,0.95,0.82,0.69,0.505,0.45,0.285,0.76,0.645,5.273855410516262,0.02569580078125,0.0
23,0.21,0.94,0.8,0.645,0.505,0.39,0.305,0.735,0.62,5.20738435536623,0.028656005859375,0.0
24,0.205,0.935,0.875,0.7,0.555,0.43,0.325,0.815,0.665,5.146981008350849,0.0304718017578125,0.0
25,0.205,0.935,0.83,0.68,0.48,0.365,0.275,0.75,0.63,5.0766196101903915,0.0321044921875,0.0
26,0.22,0.92,0.795,0.735,0.51,0.41,0.335,0.77,0.605,5.011511191725731,0.03240966796875,0.0
27,0.215,0.925,0.86,0.695,0.505,0.42,0.33,0.795,0.63,4.942721508443356,0.035003662109375,0.0
28,0.265,0.925,0.855,0.68,0.525,0.465,0.36,0.795,0.655,4.8756177723407745,0.037109375,0.0
29,0.18,0.925,0.84,0.73,0.515,0.37,0.295,0.79,0.665,4.807267375290394,0.03887939453125,0.0
30,0.19,0.93,0.865,0.675,0.515,0.4,0.275,0.785,0.645,4.740183167159557,0.04180908203125,0.0
31,0.19,0.905,0.885,0.685,0.52,0.385,0.29,0.8,0.63,4.665044270455837,0.0415191650390625,0.0
32,0.225,0.96,0.875,0.695,0.54,0.46,0.325,0.795,0.655,4.594224005937576,0.0440826416015625,0.0
33,0.255,0.925,0.84,0.72,0.51,0.44,0.325,0.78,0.635,4.5265128165483475,0.0463714599609375,0.0
34,0.26,0.935,0.855,0.73,0.58,0.505,0.365,0.8,0.68,4.455387070775032,0.0497589111328125,0.0
35,0.21,0.92,0.865,0.74,0.485,0.405,0.305,0.74,0.62,4.379501700401306,0.0505828857421875,0.0
36,0.185,0.915,0.825,0.65,0.515,0.395,0.265,0.79,0.665,4.30862882733345,0.0521087646484375,0.0
37,0.22,0.935,0.845,0.75,0.515,0.42,0.29,0.8,0.65,4.237103998661041,0.0537567138671875,0.0
38,0.21,0.925,0.81,0.705,0.495,0.4,0.28,0.72,0.655,4.163564130663872,0.0576934814453125,0.0
39,0.225,0.92,0.85,0.655,0.5,0.41,0.305,0.74,0.615,4.098998494446278,0.0589752197265625,0.0
40,0.22,0.925,0.815,0.65,0.495,0.405,0.285,0.745,0.625,4.02350452914834,0.0606536865234375,0.0
41,0.225,0.94,0.855,0.67,0.5,0.415,0.33,0.78,0.635,3.9620861895382404,0.0630950927734375,0.0
42,0.215,0.945,0.83,0.725,0.495,0.47,0.34,0.755,0.595,3.8784499429166317,0.065826416015625,0.0
43,0.2,0.92,0.84,0.66,0.48,0.43,0.29,0.775,0.6,3.8113520108163357,0.0686492919921875,0.0
44,0.205,0.96,0.84,0.655,0.485,0.37,0.31,0.74,0.61,3.740054838359356,0.0696563720703125,0.0
45,0.2,0.89,0.8,0.67,0.51,0.425,0.295,0.76,0.615,3.6740181632339954,0.072906494140625,0.0
46,0.18,0.92,0.83,0.725,0.495,0.385,0.255,0.765,0.63,3.6104296892881393,0.07464599609375,0.0
47,0.215,0.955,0.855,0.705,0.525,0.41,0.325,0.785,0.63,3.5426004268229008,0.0767364501953125,0.0
48,0.255,0.92,0.84,0.65,0.48,0.42,0.33,0.75,0.64,3.4772205390036106,0.07763671875,0.0
49,0.225,0.925,0.82,0.7,0.52,0.405,0.325,0.75,0.62,3.4113668650388718,0.081329345703125,0.0
50,0.18,0.88,0.765,0.63,0.425,0.35,0.265,0.71,0.575,3.3473059572279453,0.0825958251953125,0.0
51,0.215,0.915,0.795,0.655,0.47,0.395,0.32,0.68,0.555,3.2773325443267822,0.0843505859375,0.0
52,0.2,0.96,0.825,0.635,0.455,0.415,0.27,0.735,0.6,3.221700679510832,0.0865325927734375,0.0
53,0.23,0.92,0.83,0.63,0.485,0.415,0.305,0.72,0.59,3.169553928077221,0.0889434814453125,0.0
54,0.22,0.905,0.795,0.66,0.47,0.43,0.315,0.735,0.61,3.1073508635163307,0.088653564453125,0.0
55,0.23,0.92,0.825,0.685,0.435,0.365,0.295,0.785,0.61,3.0550007931888103,0.0898895263671875,0.0
56,0.24,0.93,0.835,0.695,0.515,0.41,0.335,0.755,0.615,2.988935872912407,0.09344482421875,0.0
57,0.195,0.895,0.83,0.635,0.465,0.34,0.255,0.685,0.6,2.931194942444563,0.0957183837890625,0.0
58,0.175,0.9,0.785,0.61,0.485,0.39,0.275,0.695,0.57,2.8844591043889523,0.0959930419921875,0.0
59,0.175,0.87,0.78,0.645,0.42,0.325,0.26,0.71,0.545,2.8333020098507404,0.0992279052734375,0.0
60,0.155,0.91,0.845,0.655,0.5,0.385,0.28,0.705,0.615,2.7768831700086594,0.100189208984375,0.0
61,0.195,0.89,0.82,0.61,0.46,0.32,0.28,0.725,0.585,2.713693179190159,0.1019439697265625,0.0
62,0.2,0.94,0.775,0.63,0.435,0.375,0.26,0.725,0.565,2.6628419794142246,0.103759765625,0.0
63,0.195,0.89,0.775,0.635,0.45,0.39,0.26,0.675,0.565,2.620845802128315,0.1052703857421875,0.0
64,0.175,0.895,0.755,0.61,0.445,0.385,0.26,0.67,0.555,2.5746929049491882,0.10784912109375,0.0
65,0.17,0.895,0.81,0.63,0.42,0.28,0.265,0.675,0.555,2.518068350851536,0.110015869140625,0.0
66,0.16,0.9,0.765,0.59,0.44,0.38,0.25,0.69,0.535,2.486131653189659,0.1108856201171875,0.0
67,0.215,0.93,0.77,0.645,0.445,0.36,0.285,0.73,0.6,2.446466449648142,0.112152099609375,0.0
68,0.2,0.855,0.79,0.65,0.475,0.395,0.255,0.705,0.61,2.3940136432647705,0.1119232177734375,0.0
69,0.18,0.87,0.805,0.605,0.4,0.35,0.24,0.67,0.53,2.3589535169303417,0.11419677734375,0.0
70,0.185,0.9,0.755,0.635,0.42,0.38,0.26,0.69,0.525,2.3123455867171288,0.116455078125,0.0
71,0.175,0.87,0.785,0.65,0.435,0.33,0.215,0.67,0.56,2.2794406451284885,0.11810302734375,0.0
72,0.16,0.94,0.795,0.6,0.425,0.33,0.22,0.66,0.545,2.226775273680687,0.1196746826171875,0.0
73,0.18,0.89,0.81,0.625,0.435,0.335,0.235,0.655,0.54,2.1916098594665527,0.12109375,0.0
74,0.185,0.9,0.835,0.625,0.43,0.345,0.255,0.68,0.55,2.1584051083773375,0.1213836669921875,0.0
75,0.16,0.87,0.82,0.61,0.405,0.325,0.245,0.675,0.55,2.1271415688097477,0.123382568359375,0.0
76,0.195,0.905,0.755,0.605,0.41,0.305,0.265,0.685,0.545,2.0862864069640636,0.12567138671875,0.0
77,0.185,0.89,0.78,0.555,0.38,0.315,0.225,0.685,0.52,2.056910080835223,0.1246185302734375,0.0
78,0.2,0.91,0.775,0.605,0.415,0.39,0.25,0.665,0.555,2.030054895207286,0.127593994140625,0.0
79,0.2,0.925,0.785,0.605,0.425,0.335,0.265,0.695,0.54,2.0001795049756765,0.12774658203125,0.0
80,0.165,0.905,0.8,0.62,0.42,0.36,0.24,0.665,0.545,1.974502356722951,0.127288818359375,0.0
81,0.16,0.905,0.805,0.57,0.42,0.33,0.225,0.66,0.52,1.9457947686314583,0.128448486328125,0.0
82,0.17,0.915,0.75,0.58,0.415,0.32,0.245,0.67,0.5,1.906860189512372,0.1312255859375,0.0
83,0.165,0.89,0.765,0.59,0.37,0.295,0.215,0.68,0.515,1.8822091091424227,0.1322174072265625,0.0
84,0.17,0.9,0.72,0.575,0.39,0.335,0.235,0.64,0.525,1.8669251706451178,0.1308441162109375,0.0
85,0.19,0.93,0.78,0.595,0.38,0.315,0.24,0.66,0.53,1.8379012178629637,0.13433837890625,0.0
86,0.175,0.86,0.705,0.605,0.41,0.335,0.22,0.68,0.555,1.8047569207847118,0.135101318359375,0.0
87,0.2,0.885,0.77,0.595,0.405,0.305,0.255,0.655,0.545,1.7787188272923231,0.1349639892578125,0.0
88,0.165,0.9,0.81,0.63,0.415,0.29,0.23,0.665,0.56,1.7660651858896017,0.1353912353515625,0.0
89,0.165,0.9,0.735,0.61,0.395,0.335,0.25,0.63,0.49,1.7344750110059977,0.13726806640625,0.0
90,0.18,0.915,0.775,0.58,0.39,0.31,0.23,0.655,0.5,1.7080402486026287,0.1385955810546875,0.0
91,0.17,0.89,0.785,0.595,0.43,0.345,0.24,0.67,0.515,1.6963577643036842,0.139434814453125,0.0
92,0.17,0.905,0.74,0.61,0.405,0.3,0.245,0.67,0.52,1.6797744370996952,0.1393890380859375,0.0
93,0.185,0.88,0.74,0.58,0.39,0.345,0.225,0.64,0.51,1.6599482372403145,0.1432647705078125,0.0
94,0.18,0.895,0.775,0.595,0.425,0.35,0.275,0.66,0.54,1.6377338767051697,0.141448974609375,0.0
95,0.16,0.865,0.75,0.59,0.35,0.305,0.2,0.635,0.485,1.609560765326023,0.143890380859375,0.0
96,0.16,0.88,0.745,0.555,0.39,0.32,0.205,0.645,0.505,1.6061455570161343,0.1414642333984375,0.0
97,0.14,0.9,0.72,0.57,0.36,0.27,0.2,0.595,0.505,1.5903199147433043,0.141143798828125,0.0
98,0.145,0.885,0.72,0.52,0.315,0.305,0.185,0.62,0.495,1.5587268136441708,0.1446685791015625,0.0
99,0.165,0.905,0.79,0.595,0.39,0.305,0.24,0.62,0.515,1.5443189069628716,0.1464996337890625,0.0
100,0.14,0.885,0.7,0.53,0.36,0.295,0.19,0.63,0.48,1.5445936191827059,0.14434814453125,0.0
28,0.265,0.925,0.855,0.68,0.525,0.465,0.36,0.795,0.655,4.8756177723407745,0.037109375,0.0
