epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.52,0.255,0.085,0.025,0.03,0.005,0.13,0.045,7.167954057455063,0.00079345703125,0.0
2,0.015,0.79,0.535,0.315,0.105,0.055,0.055,0.32,0.155,6.900236822664738,0.0011138916015625,0.0
3,0.1,0.875,0.75,0.515,0.345,0.265,0.195,0.605,0.44,6.435918278992176,0.0030517578125,0.0
4,0.1,0.915,0.76,0.615,0.38,0.295,0.185,0.675,0.525,6.1072351559996605,0.0055389404296875,0.0
5,0.16,0.89,0.845,0.65,0.47,0.375,0.255,0.775,0.625,5.849321015179157,0.0082244873046875,0.0
6,0.25,0.905,0.82,0.635,0.51,0.435,0.315,0.75,0.65,5.6019302085042,0.011260986328125,0.0
7,0.23,0.95,0.85,0.66,0.535,0.44,0.32,0.79,0.65,5.340156257152557,0.0153350830078125,0.0
8,0.23,0.945,0.845,0.72,0.51,0.455,0.295,0.8,0.65,5.052836678922176,0.0192413330078125,0.0
9,0.275,0.935,0.845,0.725,0.52,0.465,0.34,0.83,0.685,4.744059279561043,0.0249481201171875,0.0
10,0.265,0.96,0.87,0.72,0.54,0.44,0.34,0.795,0.66,4.424803778529167,0.0308074951171875,0.0
11,0.25,0.945,0.86,0.68,0.495,0.44,0.35,0.795,0.645,4.089488588273525,0.03826904296875,0.0
12,0.29,0.935,0.87,0.685,0.52,0.495,0.35,0.765,0.67,3.773063037544489,0.044464111328125,0.0
13,0.26,0.915,0.845,0.715,0.56,0.445,0.335,0.815,0.66,3.462548103183508,0.0527496337890625,0.0
14,0.29,0.95,0.87,0.755,0.565,0.465,0.35,0.805,0.705,3.1662615835666656,0.0605316162109375,0.0
15,0.26,0.925,0.845,0.705,0.535,0.455,0.33,0.8,0.65,2.8898711428046227,0.0693359375,0.0
16,0.265,0.95,0.84,0.725,0.51,0.445,0.345,0.81,0.645,2.6240164898335934,0.079559326171875,0.0
17,0.285,0.91,0.825,0.745,0.52,0.445,0.355,0.79,0.66,2.3794839195907116,0.0874786376953125,0.0
18,0.28,0.915,0.79,0.7,0.51,0.435,0.36,0.785,0.64,2.130003906786442,0.096099853515625,0.0
19,0.27,0.935,0.84,0.7,0.51,0.445,0.36,0.78,0.66,1.917746439576149,0.1080474853515625,0.0
20,0.28,0.945,0.85,0.72,0.565,0.47,0.36,0.775,0.705,1.7165654264390469,0.1160125732421875,0.0
21,0.25,0.94,0.86,0.705,0.56,0.445,0.32,0.775,0.68,1.529409820213914,0.1286468505859375,0.0
22,0.315,0.94,0.84,0.75,0.51,0.465,0.385,0.795,0.655,1.36261685192585,0.137725830078125,0.0
23,0.24,0.93,0.815,0.68,0.525,0.445,0.36,0.77,0.625,1.212957319803536,0.1490631103515625,0.0
24,0.23,0.875,0.815,0.69,0.51,0.425,0.31,0.79,0.655,1.0829692101106048,0.1571502685546875,0.0
25,0.25,0.9,0.85,0.705,0.52,0.41,0.305,0.75,0.635,0.9820636678487062,0.1645050048828125,0.0
26,0.25,0.945,0.81,0.715,0.535,0.415,0.32,0.775,0.655,0.8698129113763571,0.17327880859375,0.0
27,0.27,0.945,0.85,0.69,0.495,0.39,0.33,0.79,0.635,0.7920722486451268,0.1807403564453125,0.0
28,0.23,0.915,0.84,0.7,0.535,0.45,0.355,0.785,0.67,0.7247213022783399,0.189422607421875,0.0
29,0.26,0.885,0.85,0.67,0.54,0.405,0.305,0.755,0.645,0.6700694328173995,0.1948394775390625,0.0
30,0.24,0.9,0.8,0.67,0.55,0.43,0.32,0.74,0.63,0.6184595702216029,0.200225830078125,0.0
31,0.25,0.92,0.86,0.695,0.515,0.435,0.315,0.765,0.645,0.5796705670654774,0.2066802978515625,0.0
32,0.245,0.93,0.875,0.695,0.515,0.43,0.345,0.74,0.635,0.5452501187101007,0.2122802734375,0.0
33,0.255,0.94,0.845,0.685,0.51,0.41,0.325,0.74,0.625,0.5121411546133459,0.2163543701171875,0.0
34,0.255,0.92,0.82,0.67,0.525,0.45,0.345,0.755,0.665,0.49138412717729807,0.2225494384765625,0.0
35,0.24,0.91,0.84,0.68,0.505,0.41,0.32,0.755,0.625,0.46769860899075866,0.2247772216796875,0.0
36,0.2,0.89,0.825,0.645,0.5,0.405,0.295,0.765,0.635,0.4444287312217057,0.228118896484375,0.0
37,0.195,0.925,0.85,0.65,0.525,0.43,0.315,0.75,0.67,0.42907232185825706,0.231475830078125,0.0
38,0.225,0.895,0.815,0.7,0.49,0.41,0.3,0.725,0.615,0.41519135562703013,0.232421875,0.0
39,0.235,0.915,0.845,0.67,0.53,0.43,0.325,0.73,0.61,0.4002631092444062,0.2353363037109375,0.0
40,0.235,0.895,0.845,0.66,0.51,0.415,0.335,0.745,0.625,0.39055389957502484,0.23974609375,0.0
22,0.315,0.94,0.84,0.75,0.51,0.465,0.385,0.795,0.655,1.36261685192585,0.137725830078125,0.0
