epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.02,0.665,0.475,0.21,0.065,0.045,0.03,0.22,0.13,7.049418583512306,0.000579833984375,0.0
2,0.04,0.79,0.605,0.375,0.165,0.125,0.09,0.455,0.26,6.5156742334365845,0.0024566650390625,0.0
3,0.1,0.86,0.74,0.55,0.33,0.235,0.165,0.615,0.435,6.055560447275639,0.0060272216796875,0.0
4,0.195,0.925,0.775,0.7,0.42,0.37,0.255,0.73,0.57,5.679144561290741,0.0098724365234375,0.0
5,0.175,0.905,0.805,0.605,0.39,0.28,0.215,0.695,0.555,5.391382105648518,0.0140533447265625,0.0
6,0.195,0.965,0.825,0.64,0.45,0.36,0.265,0.755,0.565,5.1094643995165825,0.0172576904296875,0.0
7,0.215,0.91,0.845,0.7,0.485,0.415,0.315,0.775,0.64,4.832799352705479,0.0232391357421875,0.0
8,0.21,0.935,0.87,0.695,0.515,0.36,0.295,0.78,0.64,4.5381704196333885,0.02838134765625,0.0
9,0.215,0.915,0.875,0.7,0.495,0.395,0.315,0.765,0.635,4.235650967806578,0.03594970703125,0.0
10,0.19,0.93,0.79,0.645,0.445,0.36,0.26,0.715,0.555,3.943183518946171,0.044403076171875,0.0
11,0.17,0.95,0.815,0.69,0.495,0.345,0.265,0.71,0.6,3.6306860968470573,0.0528717041015625,0.0
12,0.165,0.875,0.815,0.6,0.45,0.33,0.22,0.735,0.6,3.326013930141926,0.06109619140625,0.0
13,0.175,0.91,0.835,0.62,0.45,0.32,0.275,0.725,0.575,3.012024912983179,0.0726470947265625,0.0
14,0.2,0.905,0.825,0.6,0.43,0.36,0.28,0.685,0.57,2.7154654003679752,0.081451416015625,0.0
15,0.16,0.915,0.79,0.605,0.445,0.32,0.225,0.685,0.56,2.4216166213154793,0.0945587158203125,0.0
16,0.135,0.915,0.825,0.62,0.42,0.315,0.215,0.69,0.545,2.1444862466305494,0.1046295166015625,0.0
17,0.14,0.94,0.765,0.595,0.4,0.29,0.225,0.66,0.515,1.8715920932590961,0.117706298828125,0.0
18,0.175,0.93,0.79,0.625,0.415,0.325,0.215,0.71,0.53,1.6337248161435127,0.128753662109375,0.0
19,0.155,0.915,0.79,0.585,0.375,0.32,0.24,0.665,0.5,1.4000847227871418,0.14202880859375,0.0
20,0.14,0.88,0.75,0.56,0.33,0.295,0.185,0.655,0.475,1.19520702958107,0.153533935546875,0.0
21,0.1,0.905,0.76,0.595,0.38,0.265,0.19,0.685,0.525,1.0068076709285378,0.1693572998046875,0.0
22,0.135,0.86,0.755,0.57,0.325,0.28,0.185,0.65,0.47,0.8509495509788394,0.178466796875,0.0
23,0.15,0.905,0.78,0.595,0.355,0.295,0.205,0.66,0.515,0.7119428729638457,0.19146728515625,0.0
24,0.16,0.92,0.81,0.6,0.36,0.275,0.215,0.675,0.505,0.6009334814734757,0.2015533447265625,0.0
25,0.14,0.895,0.77,0.58,0.34,0.28,0.205,0.635,0.495,0.5165688712149858,0.21038818359375,0.0
26,0.155,0.86,0.735,0.565,0.355,0.31,0.215,0.675,0.51,0.44170064060017467,0.2208709716796875,0.0
27,0.15,0.92,0.8,0.535,0.325,0.28,0.215,0.62,0.455,0.3882745518349111,0.226287841796875,0.0
28,0.14,0.9,0.755,0.58,0.33,0.255,0.185,0.615,0.47,0.3416565298102796,0.2331390380859375,0.0
29,0.135,0.88,0.7,0.505,0.365,0.29,0.2,0.61,0.505,0.3091204585507512,0.2391204833984375,0.0
30,0.14,0.92,0.755,0.555,0.33,0.295,0.185,0.63,0.475,0.28199488879181445,0.244354248046875,0.0
31,0.16,0.88,0.75,0.61,0.35,0.315,0.215,0.615,0.475,0.2615863678511232,0.2493438720703125,0.0
32,0.15,0.88,0.705,0.53,0.35,0.275,0.205,0.645,0.47,0.24673494859598577,0.2511138916015625,0.0
33,0.115,0.915,0.77,0.525,0.36,0.24,0.155,0.615,0.48,0.23117342707701027,0.2564544677734375,0.0
34,0.14,0.86,0.74,0.54,0.31,0.255,0.19,0.6,0.46,0.2218030202202499,0.2591400146484375,0.0
35,0.14,0.895,0.77,0.56,0.345,0.295,0.185,0.62,0.47,0.21270386525429785,0.2588958740234375,0.0
36,0.13,0.895,0.745,0.545,0.33,0.255,0.175,0.615,0.45,0.2013547196984291,0.2627105712890625,0.0
37,0.15,0.88,0.76,0.59,0.365,0.285,0.195,0.625,0.495,0.19852731889113784,0.2647247314453125,0.0
38,0.14,0.845,0.765,0.55,0.315,0.27,0.205,0.625,0.45,0.19208839838393033,0.2656707763671875,0.0
39,0.155,0.895,0.71,0.57,0.33,0.29,0.205,0.585,0.445,0.19064517272636294,0.267791748046875,0.0
40,0.12,0.92,0.78,0.575,0.325,0.295,0.19,0.645,0.45,0.1876223348081112,0.269683837890625,0.0
7,0.215,0.91,0.845,0.7,0.485,0.415,0.315,0.775,0.64,4.832799352705479,0.0232391357421875,0.0
