epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.515,0.29,0.085,0.025,0.03,0.005,0.095,0.045,6.981568321585655,0.0005645751953125,0.0
2,0.005,0.59,0.3,0.15,0.04,0.025,0.005,0.15,0.075,6.879449337720871,0.0011444091796875,0.0
3,0.02,0.63,0.42,0.175,0.055,0.035,0.035,0.2,0.1,6.511688686907291,0.00347900390625,0.0
4,0.02,0.715,0.525,0.23,0.075,0.07,0.035,0.285,0.18,6.315967842936516,0.0054473876953125,0.0
5,0.035,0.805,0.555,0.355,0.175,0.11,0.055,0.425,0.25,6.194634146988392,0.0068206787109375,0.0
6,0.075,0.85,0.705,0.445,0.235,0.195,0.11,0.505,0.345,6.103300362825394,0.008148193359375,0.0
7,0.085,0.87,0.77,0.495,0.31,0.24,0.15,0.595,0.475,6.0176505371928215,0.010101318359375,0.0
8,0.125,0.84,0.77,0.52,0.34,0.255,0.18,0.65,0.45,5.939831025898457,0.0107269287109375,0.0
9,0.13,0.89,0.775,0.59,0.4,0.28,0.23,0.7,0.55,5.86960019916296,0.0126800537109375,0.0
10,0.165,0.915,0.81,0.615,0.455,0.33,0.22,0.71,0.61,5.7968413308262825,0.0139923095703125,0.0
11,0.175,0.905,0.825,0.645,0.455,0.35,0.235,0.745,0.615,5.733489476144314,0.015380859375,0.0
12,0.16,0.93,0.825,0.61,0.42,0.285,0.24,0.73,0.575,5.665278904139996,0.0165557861328125,0.0
13,0.18,0.94,0.835,0.705,0.505,0.33,0.275,0.77,0.645,5.6002001240849495,0.01910400390625,0.0
14,0.145,0.925,0.825,0.675,0.485,0.36,0.23,0.76,0.645,5.533249355852604,0.0202178955078125,0.0
15,0.205,0.955,0.855,0.71,0.545,0.405,0.32,0.78,0.665,5.469514220952988,0.022735595703125,0.0
16,0.17,0.94,0.865,0.7,0.52,0.385,0.245,0.805,0.635,5.410677224397659,0.023223876953125,0.0
17,0.165,0.93,0.805,0.66,0.52,0.385,0.285,0.775,0.66,5.346021808683872,0.0241851806640625,0.0
18,0.2,0.95,0.85,0.73,0.57,0.46,0.315,0.79,0.7,5.276437491178513,0.0264892578125,0.0
19,0.18,0.925,0.845,0.715,0.57,0.41,0.28,0.81,0.715,5.214280255138874,0.0276947021484375,0.0
20,0.19,0.93,0.86,0.675,0.51,0.405,0.245,0.77,0.675,5.15277785807848,0.0301971435546875,0.0
21,0.195,0.935,0.885,0.675,0.535,0.425,0.26,0.815,0.675,5.084880851209164,0.0319976806640625,0.0
22,0.165,0.945,0.855,0.735,0.565,0.445,0.265,0.785,0.685,5.018459379673004,0.033294677734375,0.0
23,0.215,0.94,0.87,0.74,0.615,0.47,0.34,0.83,0.745,4.957822725176811,0.035736083984375,0.0
24,0.225,0.96,0.835,0.745,0.595,0.49,0.335,0.84,0.725,4.8851276859641075,0.038116455078125,0.0
25,0.245,0.95,0.865,0.73,0.6,0.485,0.37,0.85,0.72,4.813586235046387,0.040374755859375,0.0
26,0.24,0.935,0.875,0.77,0.585,0.455,0.355,0.805,0.755,4.748846210539341,0.0413970947265625,0.0
27,0.245,0.955,0.86,0.79,0.565,0.435,0.355,0.835,0.73,4.677930310368538,0.04290771484375,0.0
28,0.27,0.92,0.865,0.745,0.6,0.515,0.4,0.815,0.73,4.6091276332736015,0.046630859375,0.0
29,0.22,0.965,0.85,0.74,0.56,0.44,0.335,0.83,0.72,4.543689079582691,0.04608154296875,0.0
30,0.26,0.965,0.87,0.745,0.625,0.5,0.345,0.85,0.74,4.467755503952503,0.0501556396484375,0.0
31,0.285,0.945,0.9,0.795,0.615,0.54,0.37,0.87,0.76,4.39285496622324,0.0535888671875,0.0
32,0.25,0.945,0.85,0.73,0.6,0.465,0.345,0.82,0.715,4.3245630487799644,0.05609130859375,0.0
