epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.005,0.535,0.295,0.07,0.025,0.03,0.005,0.115,0.06,6.934897601604462,0.001068115234375,0.0
2,0.01,0.535,0.295,0.105,0.03,0.03,0.01,0.135,0.05,6.531697012484074,0.0030670166015625,0.0
3,0.01,0.57,0.335,0.12,0.045,0.05,0.025,0.115,0.08,6.261864900588989,0.005126953125,0.0
4,0.01,0.635,0.385,0.155,0.07,0.045,0.03,0.17,0.105,6.088652275502682,0.006927490234375,0.0
5,0.06,0.725,0.525,0.275,0.12,0.105,0.07,0.305,0.195,5.956824541091919,0.008331298828125,0.0
6,0.07,0.83,0.655,0.425,0.255,0.21,0.14,0.51,0.365,5.857268527150154,0.0093841552734375,0.0
7,0.105,0.855,0.79,0.565,0.375,0.25,0.165,0.615,0.475,5.765321739017963,0.01007080078125,0.0
8,0.115,0.89,0.8,0.555,0.365,0.26,0.18,0.67,0.515,5.686604805290699,0.0107269287109375,0.0
9,0.11,0.91,0.795,0.605,0.365,0.335,0.21,0.695,0.505,5.614252984523773,0.0114593505859375,0.0
10,0.12,0.92,0.765,0.6,0.375,0.33,0.19,0.67,0.52,5.553705714643002,0.0124359130859375,0.0
11,0.12,0.91,0.78,0.61,0.415,0.285,0.185,0.68,0.54,5.4885352328419685,0.0132598876953125,0.0
12,0.115,0.9,0.82,0.595,0.395,0.295,0.19,0.71,0.55,5.4361292496323586,0.0143585205078125,0.0
13,0.125,0.91,0.815,0.67,0.395,0.32,0.195,0.705,0.565,5.382316023111343,0.014678955078125,0.0
14,0.135,0.925,0.82,0.615,0.4,0.31,0.215,0.685,0.53,5.334296315908432,0.0157012939453125,0.0
15,0.11,0.9,0.8,0.655,0.405,0.295,0.205,0.685,0.53,5.2865729704499245,0.0163726806640625,0.0
16,0.125,0.9,0.745,0.555,0.39,0.285,0.205,0.68,0.495,5.245308108627796,0.01727294921875,0.0
17,0.13,0.9,0.77,0.62,0.38,0.265,0.175,0.695,0.495,5.200267523527145,0.0162200927734375,0.0
18,0.12,0.895,0.785,0.615,0.4,0.325,0.22,0.68,0.525,5.166752606630325,0.017913818359375,0.0
19,0.115,0.88,0.8,0.635,0.35,0.26,0.2,0.695,0.51,5.116727896034718,0.0190277099609375,0.0
20,0.135,0.875,0.75,0.58,0.345,0.275,0.17,0.665,0.505,5.085020646452904,0.0192108154296875,0.0
21,0.125,0.885,0.75,0.565,0.365,0.3,0.18,0.68,0.505,5.045466475188732,0.0185699462890625,0.0
22,0.125,0.905,0.78,0.58,0.355,0.275,0.18,0.66,0.5,5.012675650417805,0.019287109375,0.0
23,0.12,0.82,0.765,0.585,0.34,0.265,0.18,0.64,0.49,4.982885830104351,0.019439697265625,0.0
24,0.105,0.885,0.775,0.55,0.365,0.29,0.195,0.66,0.54,4.946668766438961,0.020965576171875,0.0
25,0.115,0.9,0.775,0.54,0.35,0.275,0.2,0.63,0.505,4.922657512128353,0.021881103515625,0.0
26,0.115,0.88,0.78,0.55,0.35,0.265,0.175,0.655,0.475,4.8911449164152145,0.02142333984375,0.0
27,0.115,0.845,0.755,0.545,0.34,0.285,0.175,0.65,0.495,4.868967145681381,0.0223236083984375,0.0
28,0.115,0.87,0.785,0.6,0.31,0.24,0.185,0.64,0.475,4.837412171065807,0.02191162109375,0.0
29,0.12,0.885,0.73,0.52,0.335,0.27,0.175,0.635,0.46,4.812657386064529,0.022918701171875,0.0
30,0.105,0.88,0.735,0.555,0.365,0.26,0.165,0.665,0.485,4.7861142084002495,0.0233154296875,0.0
31,0.1,0.865,0.77,0.555,0.34,0.28,0.125,0.685,0.48,4.7629575207829475,0.0232086181640625,0.0
32,0.11,0.875,0.735,0.58,0.345,0.26,0.155,0.615,0.495,4.743304140865803,0.02325439453125,0.0
33,0.115,0.895,0.765,0.545,0.335,0.225,0.17,0.65,0.465,4.717890597879887,0.02386474609375,0.0
34,0.1,0.915,0.715,0.56,0.34,0.245,0.16,0.655,0.48,4.694480307400227,0.023834228515625,0.0
35,0.11,0.89,0.75,0.605,0.35,0.28,0.155,0.655,0.465,4.681531846523285,0.0247039794921875,0.0
36,0.095,0.85,0.775,0.55,0.34,0.26,0.155,0.625,0.49,4.653765387833118,0.0254974365234375,0.0
37,0.095,0.88,0.74,0.525,0.33,0.27,0.15,0.665,0.485,4.635963141918182,0.0251922607421875,0.0
38,0.1,0.91,0.77,0.605,0.355,0.255,0.15,0.665,0.515,4.624716229736805,0.0251312255859375,0.0
39,0.085,0.875,0.73,0.59,0.345,0.285,0.16,0.665,0.465,4.60463409870863,0.02545166015625,0.0
40,0.095,0.885,0.78,0.54,0.365,0.26,0.16,0.66,0.5,4.580918960273266,0.0263671875,0.0
14,0.135,0.925,0.82,0.615,0.4,0.31,0.215,0.685,0.53,5.334296315908432,0.0157012939453125,0.0
