epoch,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc,train_loss,train_accuracy,test_loss
1,0.045,0.635,0.46,0.27,0.1,0.08,0.055,0.275,0.195,7.696959361433983,0.000823974609375,0.0
2,0.025,0.8,0.61,0.37,0.165,0.1,0.055,0.425,0.28,6.810427598655224,0.001983642578125,0.0
3,0.085,0.88,0.69,0.485,0.26,0.225,0.135,0.515,0.4,6.44091260433197,0.0039520263671875,0.0
4,0.14,0.88,0.805,0.535,0.31,0.285,0.215,0.63,0.465,6.183363109827042,0.005523681640625,0.0
5,0.135,0.915,0.79,0.63,0.35,0.29,0.195,0.685,0.5,5.9982684925198555,0.0070343017578125,0.0
6,0.145,0.905,0.83,0.68,0.42,0.27,0.24,0.72,0.555,5.844506181776524,0.00872802734375,0.0
7,0.155,0.96,0.865,0.64,0.415,0.34,0.235,0.725,0.58,5.712897188961506,0.010528564453125,0.0
8,0.17,0.91,0.865,0.64,0.455,0.365,0.27,0.715,0.61,5.5953163504600525,0.0128631591796875,0.0
9,0.18,0.945,0.82,0.67,0.495,0.365,0.27,0.77,0.64,5.492655798792839,0.0135498046875,0.0
10,0.18,0.92,0.855,0.645,0.495,0.35,0.27,0.78,0.615,5.391356214880943,0.0156707763671875,0.0
11,0.16,0.925,0.83,0.68,0.495,0.36,0.275,0.755,0.65,5.301417015492916,0.016815185546875,0.0
12,0.18,0.94,0.845,0.675,0.475,0.39,0.275,0.76,0.655,5.206471674144268,0.017578125,0.0
13,0.21,0.93,0.865,0.67,0.515,0.41,0.32,0.79,0.64,5.117374442517757,0.0199432373046875,0.0
14,0.17,0.92,0.83,0.67,0.52,0.385,0.255,0.8,0.675,5.032335542142391,0.02197265625,0.0
15,0.16,0.905,0.795,0.695,0.515,0.37,0.275,0.795,0.67,4.942688323557377,0.023651123046875,0.0
16,0.21,0.95,0.87,0.735,0.525,0.435,0.28,0.8,0.665,4.855475999414921,0.0238037109375,0.0
17,0.195,0.945,0.855,0.685,0.51,0.415,0.265,0.77,0.64,4.773139610886574,0.0247650146484375,0.0
18,0.185,0.925,0.825,0.68,0.51,0.4,0.28,0.805,0.665,4.692149482667446,0.0274200439453125,0.0
19,0.185,0.95,0.855,0.69,0.51,0.405,0.255,0.785,0.67,4.612119652330875,0.028076171875,0.0
20,0.175,0.94,0.825,0.725,0.505,0.425,0.28,0.785,0.655,4.54138196259737,0.030426025390625,0.0
21,0.185,0.915,0.85,0.65,0.525,0.425,0.29,0.77,0.68,4.4579638838768005,0.0307159423828125,0.0
22,0.19,0.93,0.865,0.71,0.58,0.445,0.32,0.795,0.675,4.395643576979637,0.0325469970703125,0.0
23,0.165,0.95,0.865,0.725,0.54,0.42,0.27,0.79,0.665,4.315137878060341,0.0347137451171875,0.0
24,0.2,0.93,0.83,0.735,0.535,0.395,0.295,0.8,0.68,4.250280398875475,0.03704833984375,0.0
25,0.185,0.95,0.86,0.72,0.53,0.38,0.25,0.785,0.68,4.178729481995106,0.0379180908203125,0.0
26,0.215,0.95,0.825,0.705,0.56,0.42,0.305,0.79,0.68,4.111742161214352,0.039581298828125,0.0
27,0.185,0.92,0.855,0.695,0.57,0.41,0.275,0.785,0.65,4.043652426451445,0.039398193359375,0.0
28,0.18,0.92,0.86,0.69,0.57,0.395,0.265,0.78,0.69,3.9784205332398415,0.0422821044921875,0.0
29,0.185,0.93,0.845,0.745,0.57,0.43,0.31,0.795,0.665,3.9177954234182835,0.0421905517578125,0.0
30,0.19,0.93,0.815,0.725,0.565,0.445,0.315,0.785,0.665,3.868013072758913,0.0441131591796875,0.0
31,0.19,0.94,0.825,0.735,0.565,0.4,0.32,0.79,0.66,3.797952938824892,0.0443572998046875,0.0
32,0.17,0.945,0.845,0.705,0.555,0.375,0.3,0.76,0.67,3.7435187064111233,0.04681396484375,0.0
33,0.19,0.93,0.875,0.735,0.545,0.405,0.3,0.78,0.655,3.6818091571331024,0.0485992431640625,0.0
34,0.195,0.945,0.865,0.7,0.57,0.395,0.34,0.82,0.67,3.624123364686966,0.049896240234375,0.0
35,0.19,0.91,0.835,0.69,0.555,0.44,0.325,0.8,0.67,3.5827880576252937,0.0511932373046875,0.0
36,0.165,0.92,0.86,0.735,0.535,0.385,0.28,0.825,0.675,3.5246415734291077,0.05279541015625,0.0
37,0.17,0.925,0.865,0.72,0.55,0.385,0.25,0.76,0.675,3.4779664017260075,0.054046630859375,0.0
38,0.18,0.905,0.855,0.72,0.545,0.43,0.295,0.785,0.665,3.4309160821139812,0.0557403564453125,0.0
39,0.21,0.91,0.84,0.695,0.55,0.435,0.315,0.775,0.67,3.3769072145223618,0.058563232421875,0.0
40,0.21,0.93,0.835,0.73,0.52,0.43,0.31,0.77,0.63,3.326213974505663,0.0586090087890625,0.0
26,0.215,0.95,0.825,0.705,0.56,0.42,0.305,0.79,0.68,4.111742161214352,0.039581298828125,0.0
